structure_acronym	structure_name	structure_id	expression
DFC	dorsolateral prefrontal cortex	10173	1.0756858522690664
ITC	inferolateral temporal cortex (area TEv, area 20)	10252	1.070807504191366
VFC	ventrolateral prefrontal cortex	10185	1.4585051590991247
MD	mediodorsal nucleus of thalamus	10398	0.9930992162116167
AMY	amygdaloid complex	10361	0.8829423666462192
A1C	primary auditory cortex (core)	10236	0.9640092036075872
CBC	cerebellar cortex	10657	1.1108542526325405
V1C	primary visual cortex (striate cortex, area V1/17)	10269	1.1959074139007075
OFC	orbital frontal cortex	10194	1.423177287957399
STC	posterior (caudal) superior temporal cortex (area 22c)	10243	1.4088812857133484
IPC	posteroventral (inferior) parietal cortex	10225	1.4470673770543652
M1C	primary motor cortex (area M1, area 4)	10163	0.8738743843814981
HIP	hippocampus (hippocampal formation)	10294	0.8672246957385912
STR	striatum	10333	1.0926672080235724
S1C	primary somatosensory cortex (area S1, areas 3,1,2)	10209	1.0570445434111877
