structure_acronym	structure_name	structure_id	expression
DFC	dorsolateral prefrontal cortex	10173	1.1257285254343943
ITC	inferolateral temporal cortex (area TEv, area 20)	10252	1.0871728113099064
VFC	ventrolateral prefrontal cortex	10185	1.4798857955812497
MD	mediodorsal nucleus of thalamus	10398	0.9679579895042675
AMY	amygdaloid complex	10361	0.9016913050407264
A1C	primary auditory cortex (core)	10236	1.029689921095573
CBC	cerebellar cortex	10657	1.0607988020014274
V1C	primary visual cortex (striate cortex, area V1/17)	10269	1.2705783106633617
OFC	orbital frontal cortex	10194	1.4644104653624965
STC	posterior (caudal) superior temporal cortex (area 22c)	10243	1.456443585260636
IPC	posteroventral (inferior) parietal cortex	10225	1.4996961903444301
M1C	primary motor cortex (area M1, area 4)	10163	0.9520379499367361
HIP	hippocampus (hippocampal formation)	10294	0.8364703141345272
STR	striatum	10333	1.1084136979831702
S1C	primary somatosensory cortex (area S1, areas 3,1,2)	10209	1.119847693640691
