	ontology	P	Beta	genes_in_set	overlapping_genes
223	synapse adhesion between pre- and post-synapse (GO:0099560)	4.01411229520923e-06	2.8634694328794277	45	3
234	regulation of postsynaptic density assembly (GO:0099151)	2.4278359646270203e-05	3.233374955912502	20	2
233	postsynaptic density assembly (GO:0097107)	0.0001137371113180494	2.9201371032159136	26	2
270	regulation of translation at postsynapse (GO:0140245)	0.00019057699422443967	4.398958795702722	4	1
182	trans-synaptic signaling by trans-synaptic complex (GO:0099545)	0.0006920264981003585	3.6692480187817957	9	1
231	postsynaptic specialization assembly (GO:0098698)	0.0008050673593165803	2.4976845550324898	40	2
299	neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887)	0.0013106952080363162	3.4674392875088786	9	1
298	neurotransmitter receptor transport, endosome to plasma membrane (GO:0099639)	0.0015002921273321603	3.4042376960701652	10	1
94	process in the synapse	0.0018805845188185244	1.0785809814597183	1115	11
65	extrinsic component of postsynaptic density membrane (GO:0099147)	0.004041736004442844	3.0594702261292506	11	1
265	regulation protein catabolic process at postsynapse (GO:0140252)	0.004124083817575637	3.0147432599178488	15	1
296	neurotransmitter receptor transport to plasma membrane (GO:0098877)	0.004474648644377501	2.9950638063452573	14	1
227	presynapse assembly (GO:0099054)	0.0049042121933759114	2.956098637071083	15	1
63	postsynaptic density membrane (GO:0098839)	0.007015916610807374	1.6362606604211052	143	3
264	protein catabolic process at postsynapse (GO:0140249)	0.008541161957640785	2.7360993480076927	20	1
249	metabolism	0.009203109078283847	1.8955436918730455	106	2
294	neurotransmitter receptor transport (GO:0099637)	0.009566350026597753	2.7046459970676313	18	1
154	regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	0.012375302743601367	1.5128693402324385	167	3
189	chemical synaptic transmission (GO:0007268)	0.01576769562774301	1.4577121741750463	180	3
261	protein catabolic process at synapse (GO:0140246)	0.019713669781879686	2.411692081276289	25	1
190	modulation of chemical synaptic transmission (GO:0050804)	0.027604745849159718	1.6136923018587415	99	2
170	trans-synaptic signaling (GO:0099537)	0.032987018127626076	1.2852969255579012	214	3
267	translation at synapse (GO:0140241)	0.033611150798907564	2.176469215988679	56	1
269	translation at postsynapse (GO:0140242)	0.033611150798907564	2.176469215988679	56	1
212	regulation of synapse organization (GO:0050807)	0.03424799175243434	2.183502677905851	29	1
61	postsynaptic density (GO:0014069)	0.03438690728041936	1.1153295665790772	347	4
169	synaptic signaling (GO:0099536)	0.036529070939756776	1.259403195051392	222	3
229	regulation of presynapse assembly (GO:1905606)	0.03922578551720723	2.123640423617775	31	1
194	postsynaptic modulation of chemical synaptic transmission (GO:0099170)	0.042014483276840285	2.0915864434546285	33	1
156	regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)	0.04557605828322756	2.0585372084675195	32	1
66	integral component of postsynaptic density membrane (GO:0099061)	0.048110787444707336	1.4471844260499	113	2
35	integral component of presynaptic membrane (GO:0099056)	0.05447045848265501	1.4024561268082265	130	2
193	postsynaptic process involved in chemical synaptic transmission (GO:0099565)	0.05914095888592174	1.9357505450693782	39	1
56	postsynaptic specialization (GO:0099572)	0.0787608294060256	0.926395199501762	413	4
162	regulation of postsynaptic neurotransmitter receptor endocytosis (GO:0099149)	0.08434760500536069	1.7690116503673665	43	1
198	synapse organization (GO:0050808)	0.08907662232782419	0.8960768615292891	424	4
140	process in the postsynapse	0.09247463181683542	1.0135727483174362	273	3
32	presynaptic membrane (GO:0042734)	0.11040605565044087	1.1629491481138607	161	2
226	synapse assembly (GO:0007416)	0.11692106945846731	1.1423169217621076	163	2
