ontology	P	Beta	genes_in_set	overlapping_genes
GOCC_SYNAPTIC_MEMBRANE	1.8886291142167388e-17	2.221207191941102	379	18
GOCC_POSTSYNAPSE	4.981634280390391e-17	1.977404228287229	634	23
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	2.5944529699257386e-16	2.087751665612376	457	19
GOCC_POSTSYNAPTIC_SPECIALIZATION	2.6572775379166445e-15	2.16911051408905	348	16
GOCC_POSTSYNAPTIC_MEMBRANE	4.111235728070019e-15	2.2883104652014477	268	14
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	8.732587557461115e-15	2.070151069602586	409	17
GOCC_SYNAPSE	1.057248205620658e-14	1.5980919208060973	1404	33
GOBP_CALCIUM_ION_TRANSPORT	2.0870976310924743e-14	2.0393541164064297	421	17
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	3.292106248228862e-14	2.1387419711667697	333	15
GOCC_PRESYNAPSE	7.24151361520714e-14	1.9018829098434444	544	19
GOBP_REGULATION_OF_SYSTEM_PROCESS	8.11464798179818e-14	1.8979725625147332	546	19
GOBP_SYNAPTIC_SIGNALING	2.1528190123212478e-13	1.755392179583697	740	22
GOCC_NEURON_PROJECTION	2.33785704802121e-13	1.5617385692624561	1287	30
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	2.6466397343088344e-13	2.3785669399980316	189	11
GOCC_NEURON_TO_NEURON_SYNAPSE	4.0691632402859415e-13	2.0411489690993743	365	15
GOBP_LOCOMOTORY_BEHAVIOR	6.818948889427126e-13	2.3341794584122613	197	11
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT	2.871839366759437e-12	1.8127024523652262	556	18
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	3.644320194642576e-12	3.0872927336978275	52	6
GOCC_NEURON_SPINE	3.928438246209394e-12	2.3566994213032957	174	10
GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	4.152961913809268e-12	1.6008224717090864	947	24
GOBP_BEHAVIOR	4.671207764662069e-12	1.7540153331648403	625	19
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	4.822961651230185e-12	2.8149763918593114	78	7
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	6.8100298523173704e-12	2.6034525337785963	109	8
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	7.710203913722488e-12	2.4458216126406267	143	9
GOCC_DENDRITIC_TREE	1.3816712212879707e-11	1.7531930495341401	588	18
GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	1.7928081266161677e-11	1.6353673101800603	784	21
GOBP_MONOATOMIC_ION_TRANSPORT	3.1060535236302203e-11	1.487363144303382	1157	26
GOCC_SOMATODENDRITIC_COMPARTMENT	5.211340508802681e-11	1.5964754739785336	813	21
