	ontology	P	Beta	genes_in_set	overlapping_genes
0	synapse (GO:0045202)	1.2151263671754208e-14	1.6217230214024319	1474	32
4	presynapse (GO:0098793)	2.857690473761855e-13	1.8205552250512573	691	20
45	postsynapse (GO:0098794)	5.115158570006521e-13	1.7037034441593335	909	23
32	presynaptic membrane (GO:0042734)	1.1147684066420416e-11	2.422571213859545	161	9
56	postsynaptic specialization (GO:0099572)	2.4005866518240552e-11	1.9356825867946121	413	14
189	chemical synaptic transmission (GO:0007268)	9.378499394927642e-11	2.303837441310513	180	9
81	postsynaptic membrane (GO:0045211)	2.9508480871790645e-10	2.3709800784809345	149	8
170	trans-synaptic signaling (GO:0099537)	2.163542582381962e-09	2.1207874407499787	214	9
94	process in the synapse	2.459454871443553e-09	1.4275522366038254	1115	22
35	integral component of presynaptic membrane (GO:0099056)	3.488804955856075e-09	2.3655338510136374	130	7
169	synaptic signaling (GO:0099536)	4.098945293522115e-09	2.082103990192035	222	9
61	postsynaptic density (GO:0014069)	1.0946813341367427e-08	1.8399972642981242	347	11
95	process in the presynapse	4.148436063310545e-08	1.8434241498987458	312	10
84	integral component of postsynaptic membrane (GO:0099055)	1.0345178440853868e-07	2.2873766161731477	119	6
13	extrinsic component of presynaptic active zone membrane (GO:0098891)	1.6590325493758748e-06	5.885359706890298	3	2
194	postsynaptic modulation of chemical synaptic transmission (GO:0099170)	2.2846105155158916e-06	2.897155502985476	33	3
9	presynaptic active zone (GO:0048786)	3.184408612227862e-06	2.1792844816818593	109	5
11	presynaptic active zone membrane (GO:0048787)	4.443745048290111e-06	2.4036388271067155	70	4
193	postsynaptic process involved in chemical synaptic transmission (GO:0099565)	8.133282383092426e-06	2.714535631666363	39	3
192	presynaptic modulation of chemical synaptic transmission (GO:0099171)	3.7037947327556316e-05	2.490944441638854	48	3
100	regulation of presynaptic membrane potential (GO:0099505)	3.7037947327556316e-05	2.490944441638854	48	3
191	presynaptic process involved in chemical synaptic transmission (GO:0099531)	3.7037947327556316e-05	2.490944441638854	48	3
63	postsynaptic density membrane (GO:0098839)	4.653875774957078e-05	1.8947238176052092	143	5
21	synaptic vesicle (GO:0008021)	8.160309334052281e-05	1.8310949947123072	152	5
190	modulation of chemical synaptic transmission (GO:0050804)	8.691079889900773e-05	2.037971410529638	99	4
148	regulation of postsynaptic membrane potential (GO:0060078)	0.00017200951003635957	2.253958500083375	60	3
66	integral component of postsynaptic density membrane (GO:0099061)	0.0002448072009334254	1.89980195649208	113	4
300	regulation of neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0099152)	0.00025514844742402347	5.183323578913109	2	1
158	regulation of exocytic insertion of neurotransmitter receptor to postsynaptic membrane (GO:0099145)	0.00025514844742402347	5.183323578913109	2	1
67	postsynaptic specialization of symmetric synapse (GO:0099629)	0.0004224742362799053	4.0846120050979735	4	1
127	synaptic vesicle endocytosis (GO:0048488)	0.0005096596791422794	2.0769543494311393	71	3
136	regulation of neurotransmitter uptake (GO:0051580)	0.0007143583336273993	3.7968802863758593	5	1
119	regulation of synaptic vesicle fusion to presynaptic active zone membrane (GO:0031630)	0.0007143583336274006	3.7968802863758584	5	1
82	anchored component of postsynaptic membrane (GO:0099025)	0.000714358333627404	3.796880286375858	5	1
118	synaptic vesicle fusion to presynaptic active zone membrane (GO:0031629)	0.00115289306824201	3.5736870863264425	6	1
213	structural constituent of synapse (GO:0098918)	0.0016924436481705002	2.3001018535754407	38	2
114	regulation of calcium-dependent activation of synaptic vesicle fusion (GO:0150037)	0.0017609502917456268	3.391315878332158	7	1
106	synaptic vesicle cycle (GO:0099504)	0.0018089234868773473	1.4427930357276306	221	5
157	exocytic insertion of neurotransmitter receptor to postsynaptic membrane (GO:0098967)	0.0025586027291042966	3.2371155448392064	8	1
116	synaptic vesicle docking (GO:0016081)	0.0025586027291042966	3.237115544839207	8	1
215	structural constituent of active zone (GO:0098882)	0.002558602729104308	3.2371155448392064	8	1
52	spine apparatus (GO:0097444)	0.002558602729104308	3.2371155448392064	8	1
151	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	0.0026716945184282826	2.194542412116278	42	2
60	integral component of postsynaptic specialization membrane (GO:0099060)	0.002968095535648267	2.1698000618919155	43	2
99	voltage-gated calcium channel activity involved in regulation of presynaptic cytosolic calcium levels (GO:0099626)	0.003562182913817601	3.1035344960833804	9	1
299	neurotransmitter receptor transport, endosome to postsynaptic membrane (GO:0098887)	0.003562182913817601	3.1035344960833804	9	1
33	anchored component of presynaptic membrane (GO:0099026)	0.003562182913817601	3.1035344960833804	9	1
223	synapse adhesion between pre- and post-synapse (GO:0099560)	0.003628577338847521	2.122072530212568	45	2
198	synapse organization (GO:0050808)	0.004065603553230122	1.1298400062895737	424	7
58	postsynaptic specialization membrane (GO:0099634)	0.004384561278590485	2.076510663547928	47	2
298	neurotransmitter receptor transport, endosome to plasma membrane (GO:0099639)	0.004784287083955963	2.985701801829847	10	1
135	neurotransmitter reuptake (GO:0098810)	0.004784287083956028	2.9857018018298427	10	1
62	postsynaptic density, intracellular component (GO:0099092)	0.005242102875886542	2.032926049120542	49	2
65	extrinsic component of postsynaptic density membrane (GO:0099147)	0.006234079228020165	2.880291625108766	11	1
214	structural constituent of presynapse (GO:0099181)	0.006234079228020165	2.880291625108766	11	1
236	synapse disassembly (GO:0098883)	0.00623407922802021	2.8802916251087636	11	1
17	extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	0.00623407922802021	2.8802916251087636	11	1
237	regulation of synapse disassembly (GO:1905806)	0.00623407922802021	2.8802916251087636	11	1
14	integral component of presynaptic active zone membrane (GO:0099059)	0.00673127581311889	1.9709013731046279	52	2
141	regulation of postsynaptic cytosolic calcium levels (GO:0099566)	0.00791769274043811	2.7849317817748447	12	1
140	process in the postsynapse	0.007968364115221822	1.2244719212220527	273	5
113	calcium-dependent activation of synaptic vesicle fusion (GO:0099502)	0.009838647753151186	2.6978707387890264	13	1
221	structural constituent of postsynaptic density (GO:0098919)	0.009838647753151186	2.697870738789025	13	1
23	synaptic vesicle membrane (GO:0030672)	0.010121886009967511	1.523284036339948	121	3
296	neurotransmitter receptor transport to plasma membrane (GO:0098877)	0.011998247933318579	2.6177783626524755	14	1
102	voltage-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099508)	0.019895999394146106	2.4099899776817173	17	1
16	presynaptic endocytic zone membrane (GO:0098835)	0.019895999394146185	2.4099899776817155	17	1
294	neurotransmitter receptor transport (GO:0099637)	0.02299065718147482	2.349315677532474	18	1
120	synaptic vesicle priming (GO:0016082)	0.02630844000922262	2.292107582891664	19	1
234	regulation of postsynaptic density assembly (GO:0099151)	0.029843537322811097	2.2379906783522157	20	1
69	postsynaptic endocytic zone (GO:0098843)	0.029843537322811097	2.237990678352215	20	1
24	anchored component of synaptic vesicle membrane (GO:0098993)	0.029843537322811177	2.2379906783522148	20	1
15	presynaptic endocytic zone (GO:0098833)	0.03358964908655314	2.186647698226951	21	1
10	presynaptic active zone cytoplasmic component (GO:0098831)	0.03358964908655314	2.186647698226951	21	1
43	synaptic cleft (GO:0043083)	0.03754011006698652	2.137807845851003	22	1
112	synaptic vesicle exocytosis (GO:0016079)	0.039457597513029026	1.4869314372934317	83	2
101	ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507)	0.04602620123351679	2.0467366838248764	24	1
132	presynaptic dense core vesicle exocytosis (GO:0099525)	0.04602620123351679	2.0467366838248764	24	1
233	postsynaptic density assembly (GO:0097107)	0.05524473903076373	1.9632556811873103	26	1
239	regulation of synapse maturation (GO:0090128)	0.06011059374456202	1.923985267479853	27	1
217	structural constituent of postsynapse (GO:0099186)	0.06513790999802475	1.886195236472564	28	1
96	regulation of presynaptic cytosolic calcium levels (GO:0099509)	0.07031958577667376	1.8497778868067392	29	1
238	synapse maturation (GO:0060074)	0.09830350865540707	1.685226270974397	34	1
231	postsynaptic specialization assembly (GO:0098698)	0.135615273438391	1.5178738272836587	40	1
27	neuronal dense core vesicle (GO:0098992)	0.13561527343839133	1.5178738272836572	40	1
205	modification of postsynaptic structure (GO:0099010)	0.2181053584862197	1.2490128554466349	52	1
272	transport	0.22527976599520128	1.2295450047284924	53	1
