	ontology	P	Beta	genes_in_set	overlapping_genes
938	GOBP_CALCIUM_ION_TRANSPORT	3.914141029649234e-13	1.9537788824320952	421	17
3800	GOBP_REGULATION_OF_SYSTEM_PROCESS	6.40578734499113e-13	1.8419418294103598	546	19
5633	GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	1.912845924162927e-12	2.0052528099211284	333	15
3514	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	2.4239323059012876e-11	1.80514368673499	409	17
8552	GOCC_SYNAPTIC_MEMBRANE	2.8265408987839287e-11	1.780137230411281	379	18
8630	GOCC_POSTSYNAPSE	1.2305144381272585e-10	1.5582125050708342	634	23
3662	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT	1.7672519003696892e-10	1.6696679056314165	556	18
6460	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1.950463205656625e-10	1.6603567349564616	457	19
2987	GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	2.958051321642703e-10	1.4654853259951146	947	24
8428	GOCC_POSTSYNAPTIC_MEMBRANE	5.709981684365636e-10	1.8417758603311083	268	14
1202	GOBP_LOCOMOTORY_BEHAVIOR	7.691056666969443e-10	2.0259860832930086	197	11
6364	GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	8.839262997127351e-10	1.5018620468456898	784	21
2072	GOBP_CALCIUM_MEDIATED_SIGNALING	1.4287711463850292e-09	2.1759846029369156	178	9
934	GOBP_MONOATOMIC_ION_TRANSPORT	1.473895002610395e-09	1.3629767294291943	1157	26
8677	GOCC_POSTSYNAPTIC_SPECIALIZATION	2.2626285039761273e-09	1.6796549816496087	348	16
935	GOBP_MONOATOMIC_CATION_TRANSPORT	2.438999513498618e-09	1.4076277520341454	975	23
525	GOBP_HEART_PROCESS	3.082235292310513e-09	2.0185051208630753	241	10
1193	GOBP_BEHAVIOR	3.827740181499429e-09	1.5110203201702288	625	19
8427	GOCC_SYNAPSE	5.8101056405562495e-09	1.237436170041045	1404	33
4963	GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	7.130514797746617e-09	2.3944248391290044	78	7
6053	GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION	7.911092820566627e-09	2.5670673494409466	70	6
6339	GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	7.953070941030441e-09	2.0691456026337884	189	9
4353	GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	9.319017149978755e-09	1.901108852786641	189	11
8629	GOCC_PRESYNAPSE	1.2748418281029915e-08	1.478549058347337	544	19
4940	GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT	1.426761517291357e-08	1.9289500495419496	243	10
6470	GOBP_SYNAPTIC_SIGNALING	2.2738423496954618e-08	1.366812268973239	740	22
522	GOBP_MUSCLE_SYSTEM_PROCESS	2.2899971887077354e-08	1.739905156073409	406	12
5005	GOBP_TRANSMEMBRANE_TRANSPORT	2.364269798724122e-08	1.2228986390292345	1460	28
1106	GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	2.5386609425839834e-08	2.51063488776394	52	6
3129	GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	2.8140894792877694e-08	2.138655191766684	109	8
8364	GOCC_NEURON_PROJECTION	2.818313712338396e-08	1.2120870258591305	1287	30
8403	GOCC_NEURON_SPINE	2.9345732253276633e-08	1.912574408481671	174	10
5058	GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	3.10711994655797e-08	2.0078407074558626	143	9
8278	GOCC_CALCIUM_CHANNEL_COMPLEX	3.26032039368657e-08	2.449020431506058	74	6
1127	GOBP_CELL_CELL_SIGNALING	3.776623676667771e-08	1.1696840785079596	1595	31
5001	GOBP_CALCIUM_ION_HOMEOSTASIS	3.9001232476831044e-08	1.7827192383714925	316	11
7952	GOCC_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	4.329552247504665e-08	2.6774016486452754	52	5
3084	GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	5.580514201261838e-08	1.5814995350674688	441	14
8276	GOCC_ION_CHANNEL_COMPLEX	5.637146239827151e-08	1.7066125676237205	289	12
242	GOBP_REGULATION_OF_HEART_RATE	6.971681950436076e-08	2.3618254216917918	100	6
8335	GOCC_SARCOLEMMA	7.088304510455802e-08	2.1811823202743965	133	7
8656	GOCC_NEURON_TO_NEURON_SYNAPSE	7.493508500881849e-08	1.547919526425832	365	15
6061	GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING	7.659888268072698e-08	3.596607151997034	17	3
6059	GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	8.984023092576064e-08	2.960595907510037	34	4
6454	GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION	9.818274848257766e-08	2.993250134322942	27	4
5553	GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	9.890534045730889e-08	2.3359460769263185	96	6
2092	GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING	1.016589330967406e-07	1.805036617718711	276	10
8090	GOCC_T_TUBULE	1.0922821040834481e-07	2.596523503745474	50	5
4588	GOBP_MONOATOMIC_ION_HOMEOSTASIS	1.226235984038694e-07	1.486923628932374	593	15
8632	GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX	1.293922447036309e-07	1.4858693506917566	561	15
8611	GOCC_PLASMA_MEMBRANE_REGION	1.437840057216735e-07	1.2029309197857019	1233	25
7087	GOBP_REGULATION_OF_BLOOD_CIRCULATION	1.464615579284459e-07	1.8724596080216025	243	9
8745	GOCC_L_TYPE_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	1.7960190908957713e-07	3.622938262938064	12	3
990	GOBP_MUSCLE_CONTRACTION	1.842002961577581e-07	1.7638899098282077	324	10
8277	GOCC_CATION_CHANNEL_COMPLEX	2.2163550344710773e-07	1.8601860892407847	185	9
1207	GOBP_REGULATION_OF_HEART_CONTRACTION	2.7099417974403383e-07	1.9391840528962332	196	8
8359	GOCC_PRESYNAPTIC_MEMBRANE	2.9600549335094854e-07	1.852198038625289	162	9
2074	GOBP_CELLULAR_HOMEOSTASIS	3.3044471971574406e-07	1.358807320277424	745	17
6164	GOBP_REGULATION_OF_MUSCLE_SYSTEM_PROCESS	3.405017792818429e-07	1.9194352280916056	219	8
4535	GOBP_CHEMICAL_HOMEOSTASIS	3.7761805370729834e-07	1.2888810662931915	953	19
8743	GOCC_TRANSPORTER_COMPLEX	3.808109555142391e-07	1.5304809851858499	397	13
5398	GOBP_CARDIAC_CONDUCTION	4.067224766913311e-07	2.217817638749135	96	6
4692	GOBP_REGULATION_OF_TRANSPORT	4.54836173833924e-07	1.0916477943693343	1672	29
8580	GOCC_DENDRITIC_TREE	4.785440699251022e-07	1.3329847234704533	588	18
3081	GOBP_REGULATION_OF_TRANSMEMBRANE_TRANSPORT	5.679035744653105e-07	1.4092080128026347	562	15
4591	GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	6.025129151004125e-07	2.422705562493371	55	5
994	GOBP_STRIATED_MUSCLE_CONTRACTION	7.648913088005847e-07	1.9867777175311503	167	7
2262	GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	7.814245232606448e-07	2.1461770124206656	123	6
957	GOBP_INTRACELLULAR_MONOATOMIC_ION_HOMEOSTASIS	8.128074763698941e-07	1.4765067641313971	496	13
6074	GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	8.331812317251803e-07	2.6884036813621544	40	4
6388	GOBP_INORGANIC_ION_HOMEOSTASIS	8.568268333112932e-07	1.4721085920789436	525	13
1194	GOBP_LEARNING	8.66405687716481e-07	1.8731733094913432	147	8
1239	GOBP_ASSOCIATIVE_LEARNING	9.93338915257936e-07	2.1508752093915615	85	6
6067	GOBP_MEMBRANE_DEPOLARIZATION_DURING_AV_NODE_CELL_ACTION_POTENTIAL	1.0425035838338994e-06	4.774032990147217	5	2
104	GOBP_ACTION_POTENTIAL	1.1242311315890802e-06	1.9674524177828763	135	7
8325	GOCC_SOMATODENDRITIC_COMPARTMENT	1.2249532525473152e-06	1.2048238815269414	813	21
5107	GOBP_LONG_TERM_SYNAPTIC_POTENTIATION	1.3849247278322498e-06	2.12074227615568	86	6
4753	GOBP_SEQUESTERING_OF_CALCIUM_ION	1.4306202138648908e-06	2.090382433622241	130	6
8584	GOCC_RIBBON_SYNAPSE	1.5004973530557234e-06	3.231340184383096	13	3
1183	GOBP_EXCRETION	1.663635898939685e-06	2.99043084174087	38	3
8631	GOCC_MEMBRANE_PROTEIN_COMPLEX	1.7701475458447587e-06	1.164298189857256	1117	21
4042	GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	2.034998907039176e-06	2.565351256716036	48	4
5043	GOBP_CARDIAC_MUSCLE_CONTRACTION	2.100453336424764e-06	2.057533734085571	126	6
1092	GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	2.1880686369737457e-06	2.264664158737823	78	5
1694	GOBP_REGULATION_OF_METAL_ION_TRANSPORT	2.658849210163884e-06	1.5166207170803492	387	11
6051	GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	2.850583557792782e-06	2.2433127420673014	73	5
