	ontology	P	Beta	genes_in_set	overlapping_genes
66	integral component of postsynaptic density membrane (GO:0099061)	1.0648907072341387e-10	2.6034381324518545	113	7
61	postsynaptic density (GO:0014069)	2.31422396636457e-09	1.9318856830895121	347	11
63	postsynaptic density membrane (GO:0098839)	4.2720453536730696e-09	2.352724886220407	143	7
56	postsynaptic specialization (GO:0099572)	5.8989719788053064e-08	1.7492090594373448	413	11
45	postsynapse (GO:0098794)	8.944152880029464e-08	1.428351833460156	909	17
190	modulation of chemical synaptic transmission (GO:0050804)	4.6635052966614075e-07	2.3675058548980945	99	5
182	trans-synaptic signaling by trans-synaptic complex (GO:0099545)	6.346473904799956e-07	4.0233683501405375	9	2
170	trans-synaptic signaling (GO:0099537)	1.2094396931132092e-06	1.9291080437853858	214	7
169	synaptic signaling (GO:0099536)	1.9323717693529924e-06	1.8907876857729071	222	7
189	chemical synaptic transmission (GO:0007268)	5.607466538972501e-06	1.9401214208790654	180	6
0	synapse (GO:0045202)	9.460600377324942e-06	1.1073396363189312	1474	20
81	postsynaptic membrane (GO:0045211)	3.1629942469832176e-05	1.9384918282115673	149	5
234	regulation of postsynaptic density assembly (GO:0099151)	4.235321955910072e-05	3.0783606323125507	20	2
233	postsynaptic density assembly (GO:0097107)	0.00017149370568316167	2.7903805564811877	26	2
84	integral component of postsynaptic membrane (GO:0099055)	0.00019380022261182922	1.931727271114187	119	4
35	integral component of presynaptic membrane (GO:0099056)	0.00037843168343744697	1.8398284396283826	130	4
229	regulation of presynapse assembly (GO:1905606)	0.00042261176378024547	2.6008901528371178	31	2
231	postsynaptic specialization assembly (GO:0098698)	0.001459966869469022	2.330152540332501	40	2
32	presynaptic membrane (GO:0042734)	0.0017133277159686647	1.6183155864661212	161	4
226	synapse assembly (GO:0007416)	0.0018605337100849734	1.6055571745918598	163	4
223	synapse adhesion between pre- and post-synapse (GO:0099560)	0.002511179454475408	2.206290007466777	45	2
94	process in the synapse	0.0027141847809891385	0.8932586391707178	1115	13
228	regulation of synapse assembly (GO:0051963)	0.004674354813804445	1.678894134668031	113	3
17	extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	0.004900878309325408	2.963735405490031	11	1
141	regulation of postsynaptic cytosolic calcium levels (GO:0099566)	0.00625367240450984	2.8683755843443866	12	1
227	presynapse assembly (GO:0099054)	0.01151676174022015	2.6270645887162525	15	1
16	presynaptic endocytic zone membrane (GO:0098835)	0.016037609973662225	2.493433891225707	17	1
125	synaptic vesicle proton loading (GO:0097401)	0.0243009208369184	2.32143465850734	20	1
69	postsynaptic endocytic zone (GO:0098843)	0.024300920836918496	2.3214346585073398	20	1
15	presynaptic endocytic zone (GO:0098833)	0.027436105844266534	2.2700917005901915	21	1
153	regulation of postsynaptic neurotransmitter receptor activity (GO:0098962)	0.03075411331162714	2.221251870424577	22	1
43	synaptic cleft (GO:0043083)	0.03075411331162714	2.221251870424577	22	1
101	ligand-gated ion channel activity involved in regulation of presynaptic membrane potential (GO:0099507)	0.03791810879054094	2.1301807528257317	24	1
212	regulation of synapse organization (GO:0050807)	0.05865151774047789	1.933222066914425	29	1
198	synapse organization (GO:0050808)	0.06309906218711271	0.8565964647330658	424	5
4	presynapse (GO:0098793)	0.0710695466010447	0.709666210877812	691	7
194	postsynaptic modulation of chemical synaptic transmission (GO:0099170)	0.07777050593522326	1.7994919165252703	33	1
193	postsynaptic process involved in chemical synaptic transmission (GO:0099565)	0.10985751344843549	1.6273434488608145	39	1
151	transmitter-gated ion channel activity involved in regulation of postsynaptic membrane potential (GO:1904315)	0.12714665094706895	1.5512084031587485	42	1
60	integral component of postsynaptic specialization membrane (GO:0099060)	0.13306443642411234	1.5270611337284798	43	1
58	postsynaptic specialization membrane (GO:0099634)	0.15740258709912314	1.435890459395597	47	1
100	regulation of presynaptic membrane potential (GO:0099505)	0.16363533858531787	1.4143345239610365	48	1
62	postsynaptic density, intracellular component (GO:0099092)	0.1699204003618855	1.3932313820763833	49	1
14	integral component of presynaptic active zone membrane (GO:0099059)	0.1890572772269815	1.3324575473577323	52	1
140	process in the postsynapse	0.18940351757646778	0.7729384740272576	273	3
202	regulation of postsynapse organization (GO:0099175)	0.2085538835314893	1.275149898347748	55	1
26	integral component of synaptic vesicle membrane (GO:0030285)	0.2217147984629655	1.2386827516892278	57	1
148	regulation of postsynaptic membrane potential (GO:0060078)	0.24165139395816726	1.186347726220838	60	1
95	process in the presynapse	0.2798458038148558	0.6360559529602808	312	3
11	presynaptic active zone membrane (GO:0048787)	0.30912055672379957	1.0292809302146564	70	1
127	synaptic vesicle endocytosis (GO:0048488)	0.3159075398412221	1.0148424056026502	71	1
201	postsynapse organization (GO:0099173)	0.34305416014896417	0.9590733810169156	75	1
106	synaptic vesicle cycle (GO:0099504)	0.4270329633831491	0.5696288841009908	221	2
9	presynaptic active zone (GO:0048786)	0.5660302920151026	0.5793126693388856	109	1
23	synaptic vesicle membrane (GO:0030672)	0.6389622936539265	0.4733533811468258	121	1
21	synaptic vesicle (GO:0008021)	0.8102763163477802	0.24201679658249745	152	1
191	presynaptic process involved in chemical synaptic transmission (GO:0099531)	1.0	0.0	48	0
217	structural constituent of postsynapse (GO:0099186)	1.0	0.0	28	0
181	retrograde trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0098925)	1.0	0.0	1	0
218	structural constituent of postsynaptic actin cytoskeleton (GO:0098973)	1.0	0.0	6	0
180	trans-synaptic signaling by nitric oxide, modulating synaptic transmission (GO:0099555)	1.0	0.0	1	0
179	trans-synaptic signaling by nitric oxide (GO:0099548)	1.0	0.0	1	0
219	structural constituent of postsynaptic intermediate filament cytoskeleton (GO:0099184)	1.0	0.0	2	0
220	structural constituent of postsynaptic specialization (GO:0098879)	1.0	0.0	3	0
221	structural constituent of postsynaptic density (GO:0098919)	1.0	0.0	13	0
222	structural constituent of synapse-associated extracellular matrix (GO:0150043)	1.0	0.0	1	0
178	trans-synaptic signaling by soluble gas (GO:0099543)	1.0	0.0	1	0
177	trans-synaptic signaling by neuropeptide (GO:0099540)	1.0	0.0	1	0
176	regulation of trans-synaptic signaling by endocannabinoid, modulating synaptic transmission (GO:0150036)	1.0	0.0	4	0
175	trans-synaptic signaling by endocannabinoid, modulating synaptic transmission (GO:0099553)	1.0	0.0	5	0
224	regulation of synaptic membrane adhesion (GO:0099179)	1.0	0.0	7	0
