	ontology	P	Beta	genes_in_set	overlapping_genes
66	integral component of postsynaptic density membrane (GO:0099061)	7.770089342863447e-08	2.203863330486202	113	7
61	postsynaptic density (GO:0014069)	1.0309612277862778e-06	1.6097338915157784	347	11
182	trans-synaptic signaling by trans-synaptic complex (GO:0099545)	1.8241869832260629e-06	3.9450278464252246	9	2
63	postsynaptic density membrane (GO:0098839)	1.9040198467903687e-06	1.942093855739866	143	7
56	postsynaptic specialization (GO:0099572)	1.6414988072908874e-05	1.4172593482768958	413	11
190	modulation of chemical synaptic transmission (GO:0050804)	2.870795054223508e-05	1.9888003767462565	99	5
45	postsynapse (GO:0098794)	3.453054973431939e-05	1.133330658441566	909	17
170	trans-synaptic signaling (GO:0099537)	8.617032866135971e-05	1.5817624388510192	214	7
169	synaptic signaling (GO:0099536)	0.0001107124499051271	1.5553414230249973	222	7
189	chemical synaptic transmission (GO:0007268)	0.0002511041676533199	1.5835477750587807	180	6
234	regulation of postsynaptic density assembly (GO:0099151)	0.0005724942935855268	2.6102642689375215	20	2
81	postsynaptic membrane (GO:0045211)	0.0006346032949308196	1.6068480748900964	149	5
0	synapse (GO:0045202)	0.0017082953137885029	0.8067259405700877	1474	20
84	integral component of postsynaptic membrane (GO:0099055)	0.0019530631693756315	1.6178586353467796	119	4
233	postsynaptic density assembly (GO:0097107)	0.002152193071318189	2.295062889459323	26	2
229	regulation of presynapse assembly (GO:1905606)	0.0023131611722423673	2.264134102296763	31	2
35	integral component of presynaptic membrane (GO:0099056)	0.003436032255301113	1.525841755527931	130	4
231	postsynaptic specialization assembly (GO:0098698)	0.010945296286055145	1.8754023946445575	40	2
32	presynaptic membrane (GO:0042734)	0.013707154749056078	1.2819133884924108	161	4
223	synapse adhesion between pre- and post-synapse (GO:0099560)	0.015052685929250038	1.786184677237862	45	2
226	synapse assembly (GO:0007416)	0.015346931918408826	1.2607713520275707	163	4
141	regulation of postsynaptic cytosolic calcium levels (GO:0099566)	0.019209776201659923	2.4720570244913436	12	1
17	extrinsic component of presynaptic endocytic zone membrane (GO:0098894)	0.020774428103019008	2.446627063958014	11	1
227	presynapse assembly (GO:0099054)	0.024430744260738876	2.3558781061858776	15	1
228	regulation of synapse assembly (GO:0051963)	0.02486317034005145	1.3401265493784087	113	3
16	presynaptic endocytic zone membrane (GO:0098835)	0.060394771283087664	1.951930968899336	17	1
125	synaptic vesicle proton loading (GO:0097401)	0.0636166956349462	1.9206900229720538	20	1
43	synaptic cleft (GO:0043083)	0.06400694279343443	1.9138123148369064	22	1
94	process in the synapse	0.07063670652084601	0.5505114522522505	1115	13
