ontology	P	Beta	genes_in_set	overlapping_genes
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	1.0062342925418953e-19	1.9763031060963416	457	26
GOCC_POSTSYNAPSE	3.0512783458341265e-16	1.71314301088692	634	28
GOCC_SYNAPTIC_MEMBRANE	7.375560220542512e-16	1.9204849008345517	379	21
GOBP_SYNAPTIC_SIGNALING	1.288178586528994e-14	1.5892657964989938	740	29
GOBP_NEUROGENESIS	3.1368985803780994e-14	1.3212397109386058	1584	45
GOCC_PRESYNAPSE	4.0011546360654405e-14	1.690907258101877	544	24
GOCC_SYNAPSE	1.349143203524842e-13	1.3306516263592467	1404	41
GOCC_NEURON_SPINE	1.6485487706867268e-13	2.201778097166835	174	13
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	2.0796004229863177e-13	2.6626995145356713	78	9
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	2.112668772715896e-13	1.780751028224735	409	20
GOBP_SUBPALLIUM_DEVELOPMENT	2.5489080233504746e-13	3.432063037147925	27	6
GOCC_NEURON_PROJECTION	6.940959967749543e-13	1.3272615293960397	1287	38
GOCC_PRESYNAPTIC_MEMBRANE	1.663794661985565e-12	2.1871543181874067	162	12
GOBP_GENERATION_OF_NEURONS	1.7176216680710328e-12	1.2912220669888355	1371	39
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	3.9268323901267624e-12	1.8115277917953285	333	17
GOBP_CALCIUM_ION_TRANSPORT	8.974615501008265e-12	1.6896932096617847	421	19
GOBP_STRIATUM_DEVELOPMENT	1.1272463995866512e-11	3.5162409782436446	21	5
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	1.9018578895216207e-11	2.763840075683932	55	7
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	5.52642949926933e-11	2.020204358289379	189	12
GOBP_REGULATION_OF_SYSTEM_PROCESS	9.833615827635896e-11	1.5286073945195537	546	21
