	ontology	P	Beta	genes_in_set	overlapping_genes
0	synapse (GO:0045202)	7.590882142912086e-13	1.2981090328457416	1474	40
4	presynapse (GO:0098793)	2.4368188584772933e-11	1.4862639460764462	691	24
32	presynaptic membrane (GO:0042734)	2.5626599757579078e-11	2.1454774791414732	161	11
45	postsynapse (GO:0098794)	3.875194764721651e-11	1.3767035776329664	909	28
94	process in the synapse	1.4321178942267847e-10	1.2801726044735287	1115	31
189	chemical synaptic transmission (GO:0007268)	2.633705605452079e-10	2.025260171152436	180	11
56	postsynaptic specialization (GO:0099572)	3.205876961074802e-10	1.6333134503600863	413	17
35	integral component of presynaptic membrane (GO:0099056)	1.242686366465063e-09	2.149477675209683	130	9
170	trans-synaptic signaling (GO:0099537)	7.947428167220044e-09	1.8402436767764552	214	11
81	postsynaptic membrane (GO:0045211)	1.3060318248527189e-08	2.0026732978117843	149	9
169	synaptic signaling (GO:0099536)	1.583014855108603e-08	1.8011889255877092	222	11
61	postsynaptic density (GO:0014069)	1.7698698669707194e-08	1.5976064339523037	347	14
223	synapse adhesion between pre- and post-synapse (GO:0099560)	3.451903095585202e-08	2.6497944755655416	45	5
194	postsynaptic modulation of chemical synaptic transmission (GO:0099170)	3.5322630551054465e-07	2.7431495370205137	33	4
84	integral component of postsynaptic membrane (GO:0099055)	7.457097734536394e-07	1.9644114097330758	119	7
193	postsynaptic process involved in chemical synaptic transmission (GO:0099565)	1.6514783767965181e-06	2.554797993931978	39	4
11	presynaptic active zone membrane (GO:0048787)	4.2190235827792635e-06	2.1630382513422575	70	5
63	postsynaptic density membrane (GO:0098839)	7.487454151675787e-06	1.7690526287844885	143	7
9	presynaptic active zone (GO:0048786)	9.596455185309617e-06	1.8887832565947438	109	6
13	extrinsic component of presynaptic active zone membrane (GO:0098891)	1.0481441376853576e-05	5.407520489923312	3	2
66	integral component of postsynaptic density membrane (GO:0099061)	1.420624827948336e-05	1.8504831399968122	113	6
95	process in the presynapse	5.208783042440429e-05	1.336887959063138	312	10
190	modulation of chemical synaptic transmission (GO:0050804)	0.00011609931539486385	1.7926806299556264	99	5
21	synaptic vesicle (GO:0008021)	0.000281115131561494	1.5377506118828608	152	6
198	synapse organization (GO:0050808)	0.0003801246841062735	1.11937980820059	424	11
140	process in the postsynapse	0.0007629053666270522	1.2347499833733433	273	8
234	regulation of postsynaptic density assembly (GO:0099151)	0.0007820543019466151	2.516301633289497	20	2
