	ontology	P	Beta	genes_in_set	overlapping_genes
8630	GOCC_POSTSYNAPSE	1.1504484026115708e-13	1.5231257323934924	634	32
8552	GOCC_SYNAPTIC_MEMBRANE	1.989167949329907e-13	1.7003076758664866	379	24
6460	GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	5.378062496379797e-13	1.6095114807177422	457	26
5633	GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	4.840081810952867e-12	1.7811954309922686	333	18
2120	GOBP_SUBPALLIUM_DEVELOPMENT	8.08193480959104e-12	3.318961935004424	27	6
938	GOBP_CALCIUM_ION_TRANSPORT	6.256259638905965e-11	1.6356351211249502	421	19
8364	GOCC_NEURON_PROJECTION	1.9494176713068024e-10	1.1685806192826498	1287	42
2153	GOBP_STRIATUM_DEVELOPMENT	3.906876922017415e-10	3.353732477612894	21	5
4963	GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	4.4882504560210734e-10	2.2995343880819985	78	9
6470	GOBP_SYNAPTIC_SIGNALING	4.5189086207960954e-10	1.3005495468864303	740	30
8427	GOCC_SYNAPSE	5.952165482638855e-10	1.1214539248869644	1404	44
8428	GOCC_POSTSYNAPTIC_MEMBRANE	6.542389042285876e-10	1.653684379856931	268	17
8403	GOCC_NEURON_SPINE	2.2308814203846933e-09	1.815339707721151	174	13
3800	GOBP_REGULATION_OF_SYSTEM_PROCESS	2.9413269485171498e-09	1.4438222069192108	546	20
1157	GOBP_SYNAPSE_ASSEMBLY	4.887021615519551e-09	1.770939649409981	185	13
3129	GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	6.914522713631544e-09	2.0041749412160277	109	10
8629	GOCC_PRESYNAPSE	7.481269700814115e-09	1.3226743830956627	544	24
8677	GOCC_POSTSYNAPTIC_SPECIALIZATION	9.804797647971692e-09	1.4596312256629103	348	19
4590	GOBP_REGULATION_OF_SYNAPSE_STRUCTURE_OR_ACTIVITY	1.2470927139260602e-08	1.656080159467644	230	14
1127	GOBP_CELL_CELL_SIGNALING	1.337386873331381e-08	1.0338271162595787	1595	41
8359	GOCC_PRESYNAPTIC_MEMBRANE	1.3927914698664507e-08	1.7862815765003135	162	12
5001	GOBP_CALCIUM_ION_HOMEOSTASIS	1.4960503664704325e-08	1.6252088443028503	316	14
6454	GOBP_POSTSYNAPTIC_MODULATION_OF_CHEMICAL_SYNAPTIC_TRANSMISSION	1.7702407786376517e-08	2.888618597334133	27	5
3514	GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	2.3398924107098087e-08	1.4339929261065274	409	18
8656	GOCC_NEURON_TO_NEURON_SYNAPSE	3.041298589181863e-08	1.4081322919157326	365	19
2072	GOBP_CALCIUM_MEDIATED_SIGNALING	3.3613144479318016e-08	1.8690891824241018	178	10
8653	GOCC_GLUTAMATERGIC_SYNAPSE	4.257936838741142e-08	1.38531191145243	396	19
