	ontology	P	Beta	genes_in_set	overlapping_genes
0	synapse (GO:0045202)	2.4336848539017327e-10	1.1327308874203683	1474	46
94	process in the synapse	1.9775326796563584e-09	1.1477527130546974	1115	38
45	postsynapse (GO:0098794)	6.33328695062071e-09	1.178099110873251	909	32
81	postsynaptic membrane (GO:0045211)	2.1177990855308915e-08	1.8343141692230711	149	11
189	chemical synaptic transmission (GO:0007268)	6.584074560191965e-08	1.6927992185892646	180	12
56	postsynaptic specialization (GO:0099572)	8.871523071155507e-08	1.3502716192146205	413	19
194	postsynaptic modulation of chemical synaptic transmission (GO:0099170)	1.0568194947941696e-07	2.667233366349276	33	5
223	synapse adhesion between pre- and post-synapse (GO:0099560)	1.5557338740303526e-07	2.368465558057865	45	6
4	presynapse (GO:0098793)	1.68365118774211e-07	1.1689563959652647	691	25
193	postsynaptic process involved in chemical synaptic transmission (GO:0099565)	4.6847925917843335e-07	2.489803875491503	39	5
61	postsynaptic density (GO:0014069)	7.799692813873985e-07	1.343827086621105	347	16
234	regulation of postsynaptic density assembly (GO:0099151)	1.1624870051857847e-06	2.779235114824069	20	4
170	trans-synaptic signaling (GO:0099537)	1.2029476001788934e-06	1.5121402138211386	214	12
32	presynaptic membrane (GO:0042734)	1.4433366094726083e-06	1.6379727907354344	161	10
169	synaptic signaling (GO:0099536)	1.7092795844146975e-06	1.4882658640460669	222	12
84	integral component of postsynaptic membrane (GO:0099055)	4.4346556940537126e-06	1.7380070992529615	119	8
233	postsynaptic density assembly (GO:0097107)	1.2413123278684517e-05	2.4219630983669607	26	4
35	integral component of presynaptic membrane (GO:0099056)	1.3520695200618814e-05	1.6420224600091693	130	8
13	extrinsic component of presynaptic active zone membrane (GO:0098891)	5.307399075956413e-05	5.235212139696161	3	2
198	synapse organization (GO:0050808)	0.00019347740646028189	1.0377348609449528	424	15
231	postsynaptic specialization assembly (GO:0098698)	0.00023436975467499438	1.9774418635144693	40	4
11	presynaptic active zone membrane (GO:0048787)	0.00023921223888511241	1.7462638109587763	70	5
