ontology	genes_in_set	overlapping_genes	Beta	P	P_bonf_adj	cond_P	cond_P_bonf_adj
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	457	26	1.9763031060963412	1.0062342925419748e-19	5.28876744160062e-15	8.578830023309199e-13	4.509033060251315e-08
GOCC_POSTSYNAPSE	634	28	1.7131430108869197	3.051278345834237e-16	1.6037518985704748e-11	6.179543344337021e-10	3.2479679817835385e-05
GOCC_SYNAPTIC_MEMBRANE	379	21	1.9204849008345524	7.375560220542565e-16	3.876594451917172e-11	4.6178954428531425e-10	2.4271658447636118e-05
GOBP_SYNAPTIC_SIGNALING	740	29	1.5892657964989945	1.2881785865289804e-14	6.770666650796321e-10	4.248654474848667e-09	0.00022330927919804593
GOBP_NEUROGENESIS	1584	45	1.3212397109386051	3.1368985803781915e-14	1.6487538938467777e-09	1.3058914329569201e-09	6.863765371621572e-05
GOCC_PRESYNAPSE	544	24	1.6909072581018758	4.0011546360656014e-14	2.10300687671608e-09	1.0943518681343084e-08	0.0005751913418913924
GOCC_SYNAPSE	1404	41	1.3306516263592458	1.3491432035248906e-13	7.091096677726825e-09	6.08387420638369e-08	0.0031976842828752676
GOCC_NEURON_SPINE	174	13	2.201778097166836	1.6485487706866856e-13	8.664772338729219e-09	2.9237664666121763e-09	0.000153673165485136
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	78	9	2.662699514535672	2.0796004229862726e-13	1.0930379823215848e-08	5.649047116083616e-10	2.9691391642135485e-05
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	409	20	1.7807510282247343	2.112668772716049e-13	1.1104187069395553e-08	3.4871750451650607e-10	1.8328592037387557e-05
GOBP_SUBPALLIUM_DEVELOPMENT	27	6	3.4320630371479246	2.5489080233505215e-13	1.3397060570730342e-08	1.0099767480660416e-11	5.308437787835116e-07
GOCC_NEURON_PROJECTION	1287	38	1.32726152939604	6.940959967749493e-13	3.6481685590491335e-08	9.69769654996946e-08	0.0050971093066639475
GOCC_PRESYNAPTIC_MEMBRANE	162	12	2.187154318187406	1.6637946619855954e-12	8.74490474339629e-08	1.7774582355860092e-08	0.0009342320486240064
GOBP_GENERATION_OF_NEURONS	1371	39	1.2912220669888346	1.7176216680711136e-12	9.027819487381773e-08	3.821210928553999e-08	0.002008428464047982
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	333	17	1.8115277917953283	3.926832390126592e-12	2.0639431042505368e-07	1.3987193455916639e-10	7.351668880429785e-06
GOBP_CALCIUM_ION_TRANSPORT	421	19	1.6896932096617832	8.974615501008979e-12	4.717057907330319e-07	1.0912940375638693e-10	5.7358414614356965e-06
GOBP_STRIATUM_DEVELOPMENT	21	5	3.516240978243648	1.1272463995866016e-11	5.924807076227178e-07	4.644846389434247e-10	2.4413312622866405e-05
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	55	7	2.763840075683932	1.9018578895216207e-11	9.99616506732564e-07	7.694884989178014e-09	0.0004044431550311965
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	189	12	2.0202043582893787	5.526429499269232e-11	2.904691344815908e-06	4.3271502846164454e-07	0.022743501895944037
GOBP_REGULATION_OF_SYSTEM_PROCESS	546	21	1.5286073945195533	9.833615827635967e-11	5.168548479005464e-06	5.405585000969117e-10	2.8411754765093682e-05
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	109	9	2.2899945356221822	1.3063130823955742e-10	6.8659815610711376e-06	2.432477247680531e-07	0.012785100413808871
GOBP_CELL_CELL_SIGNALING	1595	40	1.1560907588542189	1.7234786029505078e-10	9.05860353710787e-06	9.539154819156737e-08	0.005013779772948781
GOCC_POSTSYNAPTIC_MEMBRANE	268	14	1.820970156897168	1.7453714976228168e-10	9.173672591505525e-06	1.2140019678965875e-06	0.06380794343264463
GOCC_POSTSYNAPTIC_SPECIALIZATION	348	16	1.6945733676622954	2.423879568524834e-10	1.2739911012166529e-05	5.685849147319918e-06	0.2988482311831349
GOBP_DEPHOSPHORYLATION	310	15	1.744135155719458	2.5976256411112985e-10	1.3653120369680985e-05	1.968499909924811e-08	0.0010346435526564807
GOCC_SOMATODENDRITIC_COMPARTMENT	813	26	1.3547955301059236	2.968117301518809e-10	1.560042453678286e-05	5.440616263093565e-06	0.2859587907881978
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	143	10	2.1142568764350056	3.432129005146769e-10	1.8039270051051418e-05	5.152958476434931e-07	0.027083949752141998
