ontology	genes_in_set	overlapping_genes	Beta	P	P_bonf_adj	cond_P	cond_P_bonf_adj
integral component of postsynaptic density membrane (GO:0099061)	113	7	2.6034381324518563	1.064890707234092e-10	1.9295819615081744e-07	7.770089342863304e-08	0.00014079401889268307
postsynaptic density (GO:0014069)	347	11	1.931885683089512	2.3142239663645954e-09	4.193373827052647e-06	1.030961227786274e-06	0.0018681017447487284
postsynaptic density membrane (GO:0098839)	143	7	2.352724886220406	4.272045353673133e-09	7.740946180855719e-06	1.9040198467903937e-06	0.0034500839623841932
postsynaptic specialization (GO:0099572)	413	11	1.7492090594373446	5.898971978805306e-08	0.00010688937225595215	1.6414988072908752e-05	0.02974395838811066
postsynapse (GO:0098794)	909	17	1.428351833460157	8.94415288002922e-08	0.00016206805018612944	3.4530549734319464e-05	0.06256935611858687
modulation of chemical synaptic transmission (GO:0050804)	99	5	2.367505854898095	4.6635052966614086e-07	0.0008450271597550472	2.8707950542234924e-05	0.05201880638252968
trans-synaptic signaling by trans-synaptic complex (GO:0099545)	9	2	4.0233683501405375	6.346473904799956e-07	0.001149981071549752	1.824186983226046e-06	0.003305426813605595
trans-synaptic signaling (GO:0099537)	214	7	1.9291080437853865	1.2094396931132025e-06	0.002191504723921123	8.617032866135907e-05	0.15614063553438262
synaptic signaling (GO:0099536)	222	7	1.890787685772909	1.932371769352964e-06	0.0035014576460675705	0.0001107124499051	0.2006109592280412
chemical synaptic transmission (GO:0007268)	180	6	1.9401214208790656	5.607466538972468e-06	0.010160729368618112	0.0002511041676533	0.4550007517877796
synapse (GO:0045202)	1474	20	1.107339636318929	9.46060037732568e-06	0.01714260788371413	0.0017082953137885	1.0
postsynaptic membrane (GO:0045211)	149	5	1.938491828211568	3.1629942469831986e-05	0.05731345575533556	0.0006346032949308	1.0
regulation of postsynaptic density assembly (GO:0099151)	20	2	3.078360632312551	4.23532195591004e-05	0.07674403384108991	0.0005724942935855	1.0
postsynaptic density assembly (GO:0097107)	26	2	2.790380556481192	0.0001714937056831	0.31074659469777716	0.0021521930713181	1.0
integral component of postsynaptic membrane (GO:0099055)	119	4	1.931727271114188	0.0001938002226118	0.3511660033725816	0.0019530631693756	1.0
integral component of presynaptic membrane (GO:0099056)	130	4	1.8398284396283835	0.0003784316834374	0.6857182103885688	0.0034360322553011	1.0
regulation of presynapse assembly (GO:1905606)	31	2	2.600890152837116	0.0004226117637802	0.7657725159697224	0.0023131611722423	1.0
postsynaptic specialization assembly (GO:0098698)	40	2	2.330152540332498	0.001459966869469	1.0	0.0109452962860551	1.0
