ontology	genes_in_set	overlapping_genes	Beta	P	P_bonf_adj	cond_P	cond_P_bonf_adj
synapse adhesion between pre- and post-synapse (GO:0099560)	45	3	3.0975149678639307	3.882280144711565e-07	0.0007034691622217356	1.3440690580083996e-05	0.024354531331112202
trans-synaptic signaling by trans-synaptic complex (GO:0099545)	9	1	3.628511329250089	0.0006776894454713	1.0	0.0011395716354655	1.0
regulation protein catabolic process at postsynapse (GO:0140252)	15	1	3.068598231962101	0.0032395283795354	1.0	0.0064849046803183	1.0
presynapse assembly (GO:0099054)	15	1	3.068598231962101	0.0032395283795354	1.0	0.007711097193524	1.0
regulation of postsynaptic membrane neurotransmitter receptor levels (GO:0099072)	167	3	1.7292451643981068	0.0036978274011241	1.0	0.0258804254802034	1.0
dendritic transport (GO:0098935)	19	1	2.817085548327648	0.0064749939744168	1.0	0.0196541599145482	1.0
process in the synapse	1115	9	0.9678923123254228	0.0070460616045307	1.0	0.0883532372393498	1.0
protein catabolic process at postsynapse (GO:0140249)	20	1	2.76296875707694	0.0074940119892041	1.0	0.0130111494968093	1.0
regulation of postsynaptic density assembly (GO:0099151)	20	1	2.76296875707694	0.0074940119892041	1.0	0.0277200059637069	1.0
postsynaptic endosome (GO:0098845)	24	1	2.5717152158170284	0.0124300230146288	1.0	0.0304609189702023	1.0
protein catabolic process at synapse (GO:0140246)	25	1	2.5291060191288457	0.0138787807856202	1.0	0.0292339114314976	1.0
postsynaptic density assembly (GO:0097107)	26	1	2.4882344398806726	0.0154126029164826	1.0	0.0544074931737795	1.0
axo-dendritic transport (GO:0008088)	28	1	2.411174221912169	0.0187324014860719	1.0	0.0480823568676092	1.0
integral component of postsynaptic density membrane (GO:0099061)	113	2	1.7014916105836424	0.0187709097767191	1.0	0.0800535984412813	1.0
regulation of synapse organization (GO:0050807)	29	1	2.3747569856363464	0.0205165233781125	1.0	0.0497646995991619	1.0
regulation of neurotransmitter receptor localization to postsynaptic specialization membrane (GO:0098696)	32	1	2.272825500253596	0.0263523928917213	1.0	0.0653570925266347	1.0
postsynaptic modulation of chemical synaptic transmission (GO:0099170)	33	1	2.2410271999946114	0.0284546371178694	1.0	0.0601783129560897	1.0
integral component of presynaptic membrane (GO:0099056)	130	2	1.558144618046546	0.0311991677634073	1.0	0.0886838229486209	1.0
synapse organization (GO:0050808)	424	4	1.0791786409096509	0.0371241983315286	1.0	0.167769953553345	1.0
process in the postsynapse	273	3	1.225382987479207	0.0390177453582202	1.0	0.1601365649660722	1.0
postsynaptic process involved in chemical synaptic transmission (GO:0099565)	39	1	2.068879279722992	0.0426168967000733	1.0	0.0830258468487614	1.0
postsynaptic density membrane (GO:0098839)	143	2	1.4607668549580577	0.0432521939755805	1.0	0.1591302790625741	1.0
postsynaptic specialization assembly (GO:0098698)	40	1	2.042854174146876	0.0452212796301285	1.0	0.1227344536356579	1.0
presynaptic membrane (GO:0042734)	161	2	1.339724429094938	0.0635667936424976	1.0	0.1697287253757338	1.0
postsynaptic density, intracellular component (GO:0099092)	49	1	1.8347681259852755	0.0714235863870699	1.0	0.1630477702554845	1.0
