ontology	genes_in_set	overlapping_genes	Beta	P	P_bonf_adj	cond_P	cond_P_bonf_adj
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	457	20	2.214277722323133	1.194016716573685e-18	6.275751862311287e-14	5.772402176386126e-12	3.0339745839085474e-07
GOCC_SYNAPTIC_MEMBRANE	379	17	2.2123225804322737	1.6988658484664123e-16	8.929238899539464e-12	1.8492048133712886e-10	9.719420499079494e-06
GOCC_PRESYNAPSE	544	20	2.028031598230851	5.577672912772129e-16	2.931624882953031e-11	5.59184787452741e-10	2.939075242851607e-05
GOBP_REGULATION_OF_MEMBRANE_POTENTIAL	409	17	2.1310974935135087	1.854562925590392e-15	9.747582736903099e-11	8.545482077962422e-12	4.4915053801770496e-07
GOCC_POSTSYNAPSE	634	21	1.925941184073029	4.119677940906668e-15	2.1653027257405448e-10	3.694300564223587e-09	0.00019417243765559172
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	78	8	3.0276000124020164	4.259493923365895e-15	2.2387900061211148e-10	3.900900865169522e-11	2.0503134947331008e-06
GOCC_SYNAPSE	1404	32	1.626772312557876	1.1455449922592056e-14	6.020984479314386e-10	8.194518657911345e-09	0.0004307039006598203
GOCC_POSTSYNAPTIC_SPECIALIZATION	348	15	2.151593296800101	2.7304967011681787e-14	1.4351490661339947e-09	1.4625353130130941e-08	0.0007687085605196823
GOBP_SYNAPTIC_SIGNALING	740	22	1.8195711803683976	3.95472626823389e-14	2.0786041265837327e-09	8.937235145806635e-09	0.00046974107926359674
GOBP_REGULATION_OF_SYSTEM_PROCESS	546	18	1.8935730320228163	3.8729383241170994e-13	2.0356163831559475e-08	3.0184428954680817e-12	1.5864935858580238e-07
GOCC_NEURON_SPINE	174	10	2.4136362297864893	1.33163229998995e-12	6.999059368747177e-08	1.6669423570938453e-08	0.000876144902888525
GOBP_GLUTAMATE_RECEPTOR_SIGNALING_PATHWAY	52	6	3.142167657079953	1.6062747431698428e-12	8.442580050100693e-08	1.75022731383252e-08	0.0009199194761503725
GOBP_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	109	8	2.6593392417167885	2.6265775800126787e-12	1.380529176054664e-07	1.7255439881135138e-08	0.0009069459201524628
GOBP_REGULATION_OF_POSTSYNAPTIC_MEMBRANE_POTENTIAL	143	9	2.5022284892292674	2.801525807026462e-12	1.4724819641731086e-07	1.818101321243328e-08	0.0009555940544454932
GOCC_NEURON_TO_NEURON_SYNAPSE	365	14	2.018841650485105	3.7097713566242375e-12	1.949855825041699e-07	4.168805126015292e-07	0.021911239742336375
GOCC_POSTSYNAPTIC_MEMBRANE	268	12	2.1653694110950013	3.767302959516303e-12	1.9800944355217692e-07	9.273788753075916e-08	0.004874303368616701
GOBP_CALCIUM_ION_TRANSPORT	421	15	1.949472710840275	4.549525965211996e-12	2.391230847315425e-07	6.332911899861269e-11	3.328578494567083e-06
GOBP_REGULATION_OF_SYNAPTIC_PLASTICITY	189	10	2.3253218759748275	7.560555442596066e-12	3.973827940628492e-07	1.2474078225908106e-07	0.0065563755155373
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	333	13	2.0288059257112545	1.3906596489088783e-11	7.309307114665066e-07	4.875182523004436e-10	2.5623959340911315e-05
GOBP_LOCOMOTORY_BEHAVIOR	197	10	2.281174819316407	1.772631643786372e-11	9.316951919741171e-07	1.2419647434722033e-08	0.00065277666916899
GOCC_NEURON_PROJECTION	1287	27	1.4884520788731863	2.245593537882248e-11	1.1802839635109096e-06	9.136208827769184e-07	0.048019913598754835
GOCC_PRESYNAPTIC_MEMBRANE	162	9	2.368624890498252	3.1735570203427107e-11	1.6680215698921287e-06	1.8020983795475814e-07	0.009471829082902087
GOCC_DENDRITIC_TREE	588	17	1.7453248728082795	5.831950084464775e-11	3.065272964394686e-06	1.592782050708073e-06	0.08371662458521632
GOBP_CELL_CELL_SIGNALING	1595	30	1.3952422379933174	8.039413256446266e-11	4.225515607588157e-06	4.5838553348647904e-08	0.0024092743640049337
GOCC_EXOCYTIC_VESICLE	215	10	2.1883182457521464	1.0256183558802304e-10	5.39065007850649e-06	3.70780787105476e-07	0.01948823817026382
GOBP_CARDIAC_MUSCLE_CELL_CONTRACTION	70	6	2.810977853203932	1.359770829847838e-10	7.146955481680236e-06	4.569683835529137e-09	0.00024018258239541144
GOCC_SOMATODENDRITIC_COMPARTMENT	813	20	1.5990655207024256	1.3766370820237438e-10	7.235604503116797e-06	2.9499255970236347e-06	0.15504808937956224
GOBP_CALCIUM_MEDIATED_SIGNALING	178	9	2.268316594400866	1.8577101550383123e-10	9.76412457488137e-06	6.09198605096341e-10	3.2019478683863685e-05
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSPORT	556	16	1.731834615244496	2.3610127914045766e-10	1.2409483231622454e-05	9.724331869604772e-09	0.0005111108830664268
GOCC_PLASMA_MEMBRANE_REGION	1233	25	1.433567506960939	3.5712747747929026e-10	1.8770620216311497e-05	4.2853275178932075e-08	0.00225236814340467
GOCC_ION_CHANNEL_COMPLEX	289	11	1.984890172509358	8.038932501505486e-10	4.225262922791284e-05	4.642208106196245e-07	0.02439944580616746
GOBP_HEART_PROCESS	241	10	2.0675291519134222	9.295911373889139e-10	4.8859310181161315e-05	1.2125905862878372e-09	6.373376121528873e-05
GOBP_NEGATIVE_REGULATION_OF_SYNAPTIC_TRANSMISSION	55	5	2.86695148368807	2.137871428669906e-09	0.00011236652229089028	4.162264332279197e-07	0.021876861330459463
GOBP_POSITIVE_REGULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	31	4	3.251987847596008	2.30642199903596e-09	0.00012122554026933005	2.7950624269946805e-06	0.1469084811628404
GOBP_REGULATION_OF_NEURONAL_SYNAPTIC_PLASTICITY	56	5	2.8470961957109746	2.671671428510677e-09	0.00014042305028252118	4.144043699137672e-06	0.21781093682667607
GOCC_RIBBON_SYNAPSE	13	3	3.9493187901718425	2.9004535995882892e-09	0.00015244784119436048	1.2289827518160445e-06	0.06459533343545129
GOBP_BEHAVIOR	625	16	1.6078487845781222	3.850709706885551e-09	0.00020239330219390454	9.817704142196849e-07	0.051601852971386634
GOBP_CALCIUM_ION_HOMEOSTASIS	316	11	1.8907593941344736	4.5808102872996894e-09	0.00024076738870047168	1.6172935561939453e-08	0.0008500494931355376
GOBP_CHEMICAL_SYNAPTIC_TRANSMISSION_POSTSYNAPTIC	127	7	2.342954154767067	5.06485435152679e-09	0.00026620874471624807	2.0903875249021045e-06	0.1098707683088546
GOBP_CELL_CELL_SIGNALING_INVOLVED_IN_CARDIAC_CONDUCTION	34	4	3.146469532711065	5.983253195240729e-09	0.0003144797879418527	5.9440808368742063e-08	0.003124208887861083
GOBP_MONOATOMIC_CATION_TRANSMEMBRANE_TRANSPORT	784	18	1.5085472601135974	6.2886883761771885e-09	0.000330533461051873	1.7306954762441254e-07	0.009096535423139124
GOBP_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	947	20	1.4355644063278017	7.896960669704528e-09	0.00041506425279967	2.5305663871478664e-07	0.013300656930849185
GOBP_REGULATION_OF_NEUROTRANSMITTER_TRANSPORT	94	6	2.4912585661265627	8.694648837577388e-09	0.0004569907429030675	2.209137733329097e-06	0.11611227926377733
GOCC_MEMBRANE_PROTEIN_COMPLEX	1117	22	1.376740108172572	9.15007100803682e-09	0.0004809277321824152	1.0073531448467225e-07	0.005294648129314373
GOBP_SECOND_MESSENGER_MEDIATED_SIGNALING	276	10	1.9245880088796488	1.115637250238766e-08	0.0005863789387254955	4.543513394054228e-08	0.0023880706399149027
GOBP_CARDIAC_CONDUCTION	96	6	2.468680174946458	1.1559434799099413e-08	0.0006075638930406652	2.452546698648527e-07	0.012890585448096658
GOBP_ACTIN_MEDIATED_CELL_CONTRACTION	96	6	2.468680174946458	1.1559434799099413e-08	0.0006075638930406652	5.49883276876081e-08	0.002890186503260682
GOBP_ACTION_POTENTIAL	135	7	2.2779927112294587	1.2541360192811567e-08	0.000659173891734176	6.75947846026877e-07	0.03552781878717265
GOBP_REGULATION_OF_TRANSPORT	1672	28	1.2486612517862927	1.2647610999518391e-08	0.0006647584341346866	5.362120186878554e-07	0.028183303702233677
GOBP_MONOATOMIC_ION_HOMEOSTASIS	593	15	1.586978698309357	1.5262568502182882e-08	0.0008022006004747323	4.399618622602917e-08	0.0023124395480400937
GOCC_TRANSPORTER_COMPLEX	397	12	1.7504122843142158	1.5784721537519342e-08	0.0008296449640120166	2.09229163751704e-06	0.10997084846789562
GOBP_MONOATOMIC_CATION_TRANSPORT	975	20	1.4042595843062018	1.6399121458726974e-08	0.0008619378238706898	2.529412192776738e-07	0.013294590485234533
GOBP_CELLULAR_HOMEOSTASIS	745	17	1.4938759660241	1.9145152996575376e-08	0.0010062692415000018	1.1737922479084342e-07	0.00616945205500673
GOBP_ATRIAL_CARDIAC_MUSCLE_CELL_TO_AV_NODE_CELL_SIGNALING	17	3	3.61263633702684	1.9621049681327253e-08	0.0010312823712505606	5.3558268663809326e-08	0.002815022600969818
GOBP_REGULATION_OF_HEART_RATE	100	6	2.424983958931624	1.997785029654889e-08	0.0010500358115866095	3.7001663674968446e-08	0.0019448074427563416
GOCC_CATION_CHANNEL_COMPLEX	185	8	2.094289069294207	2.235655296855214e-08	0.0011750604240271004	3.052128882336157e-06	0.1604198940555884
GOBP_MONOATOMIC_ION_TRANSPORT	1157	22	1.3386302993584929	2.2932177508681375e-08	0.001205315249856293	5.606749187190104e-07	0.029469073727871185
GOBP_CALCIUM_ION_TRANSMEMBRANE_IMPORT_INTO_CYTOSOL	189	8	2.071729692768856	3.113694141669682e-08	0.0016365576408615848	1.513652646494382e-07	0.007955758309974472
GOBP_REGULATION_OF_HEART_RATE_BY_CARDIAC_CONDUCTION	40	4	2.963832302741447	3.1598084664809244e-08	0.0016607953299823737	5.753327490132298e-07	0.03023948928813536
GOBP_REGULATION_OF_BLOOD_CIRCULATION	243	9	1.9394438096741704	4.14853780276332e-08	0.0021804714691324007	6.641251698556917e-08	0.003490641892761516
GOBP_REGULATION_OF_CALCIUM_ION_TRANSPORT	243	9	1.9394438096741704	4.14853780276332e-08	0.0021804714691324007	1.8479604176747006e-07	0.009712879955298227
GOBP_CELLULAR_RESPONSE_TO_ORGANIC_CYCLIC_COMPOUND	551	14	1.583627545053521	4.20192865929481e-08	0.0022085337033253523	1.741031793194235e-07	0.0091508631050289
GOBP_REGULATION_OF_HEART_CONTRACTION	196	8	2.033413516735988	5.432337465820266e-08	0.0028552365720351316	1.3346181645333852e-07	0.0070147530727874725
GOCC_PLASMA_MEMBRANE_PROTEIN_COMPLEX	561	14	1.56463623814356	6.043522851000975e-08	0.003176475610486113	5.192553841546174e-07	0.02729206299116669
GOBP_CARDIAC_MUSCLE_CELL_ACTION_POTENTIAL	73	5	2.558518467131245	6.457683390678682e-08	0.0033941583901407153	1.9047351952335376e-06	0.10011288186147474
GOBP_INTRACELLULAR_MONOATOMIC_ION_HOMEOSTASIS	496	13	1.6083648731652085	7.052927424648456e-08	0.0037070186543952284	3.407070826170673e-07	0.017907564262353057
GOBP_CHEMICAL_HOMEOSTASIS	953	19	1.3656664127029754	7.380359601877547e-08	0.003879117006746839	1.184399172316876e-07	0.0062252020496975
GOCC_CALCIUM_CHANNEL_COMPLEX	74	5	2.5438669570651644	7.563451218605182e-08	0.003975349960498884	1.9976886537933126e-06	0.10499851564337652
GOBP_MODULATION_OF_EXCITATORY_POSTSYNAPTIC_POTENTIAL	44	4	2.858261282925386	8.262971571031363e-08	0.0043430178577340845	3.305474805057041e-05	1.0
GOBP_PEPTIDYL_TYROSINE_AUTOPHOSPHORYLATION	21	3	3.3611116480218595	9.957186308552038e-08	0.005233497123774951	9.24634015040977e-08	0.004859876383055375
GOBP_REGULATION_OF_MONOATOMIC_ION_TRANSMEMBRANE_TRANSPORT	441	12	1.6398372967626833	1.1386230940574997e-07	0.005984602982366219	3.235665068910374e-06	0.17006655602192927
GOBP_REGULATION_OF_NEUROTRANSMITTER_SECRETION	77	5	2.50114919403907	1.196078216130431e-07	0.006286587103981545	1.280893551205397e-05	0.6732376505135568
GOBP_ADENYLATE_CYCLASE_INHIBITING_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	78	5	2.487303150145816	1.3864706761703718e-07	0.007287289873951474	1.402436139085374e-06	0.07371204347032727
GOCC_SYNAPTIC_VESICLE_MEMBRANE	118	6	2.2488293496892187	1.708827553336753e-07	0.008981597620337975	8.127585788487505e-05	1.0
GOBP_NEGATIVE_REGULATION_OF_G_PROTEIN_COUPLED_RECEPTOR_SIGNALING_PATHWAY	48	4	2.762740554641496	1.9613516989670813e-07	0.010308864529770978	1.3725761985017112e-06	0.07214260499324995
GOBP_REGULATION_OF_LONG_TERM_NEURONAL_SYNAPTIC_PLASTICITY	23	3	3.25564598542108	2.028244124186874e-07	0.010660451116726212	2.166312099921844e-05	1.0
GOBP_INORGANIC_ION_HOMEOSTASIS	525	13	1.548492926806662	2.0738027949295915e-07	0.010899907490149933	3.430549556969693e-07	0.018030968471432703
GOBP_MEMBRANE_DEPOLARIZATION_DURING_AV_NODE_CELL_ACTION_POTENTIAL	5	2	4.739144423485293	2.4240684531263245e-07	0.012740903789631962	8.690633002715184e-07	0.04567796706227101
GOBP_TRANSMEMBRANE_TRANSPORT	1460	24	1.1956821389386203	2.444901236773012e-07	0.012850400900478951	3.41712172990611e-06	0.17960391812386514
GOBP_ACTIN_FILAMENT_BASED_MOVEMENT	123	6	2.204890092372441	2.8722071488221255e-07	0.015096320774209093	4.281254895601118e-07	0.022502275731279477
GOCC_T_TUBULE	50	4	2.7181835012045488	2.92766652530242e-07	0.01538781525698952	1.0089772872540948e-05	0.5303184621807522
GOCC_TRANSPORT_VESICLE	403	11	1.6351548004392324	3.6355046649828354e-07	0.01910821251914978	2.649821787853719e-05	1.0
GOBP_CARDIAC_MUSCLE_CONTRACTION	126	6	2.1794137345899696	3.869065489437777e-07	0.020335808212484954	1.2120231684497328e-06	0.06370393773371795
GOBP_MUSCLE_SYSTEM_PROCESS	406	11	1.627369987225899	4.119075786395861e-07	0.021649862333296646	1.541085563316788e-07	0.008099945720793039
GOBP_LONG_TERM_SYNAPTIC_POTENTIATION	86	5	2.382891562439483	4.1638692948591836e-07	0.02188529701377987	4.235464849020296e-05	1.0
GOCC_VOLTAGE_GATED_CALCIUM_CHANNEL_COMPLEX	52	4	2.675518584832302	4.2879136021258724e-07	0.022537273892773584	4.78583923656248e-06	0.25154371027372396
GOBP_REGULATION_OF_SYNAPSE_STRUCTURAL_PLASTICITY	7	2	4.228213735630109	5.132664163851467e-07	0.02697728284520331	1.348919970519847e-05	0.7089923365052315
GOCC_G_PROTEIN_COUPLED_RECEPTOR_DIMERIC_COMPLEX	7	2	4.228213735630109	5.132664163851467e-07	0.02697728284520331	2.4222912209904026e-06	0.12731562657525558
GOBP_STARTLE_RESPONSE	26	3	3.115726301898818	5.296986908316723e-07	0.027840963190112696	2.6534041256320467e-05	1.0
GOBP_SEQUESTERING_OF_CALCIUM_ION	130	6	2.14641247292488	5.671348782071599e-07	0.029808609198568328	7.904147521575367e-07	0.041544199373400134
