ontology	genes_in_set	overlapping_genes	Beta	P	P_bonf_adj	cond_P	cond_P_bonf_adj
GOCC_POSTSYNAPSE	634	32	1.9074366159017404	1.2518781563080722e-21	6.579871589555229e-17	1.1504484026115708e-13	6.046756804126416e-09
GOCC_SYNAPTIC_MEMBRANE	379	24	2.1075433745618577	1.1028761228616032e-20	5.796716901760587e-16	1.989167949329907e-13	1.045506674167799e-08
GOBP_REGULATION_OF_TRANS_SYNAPTIC_SIGNALING	457	26	2.0026641010265025	3.823819649171776e-20	2.0097996076046855e-15	5.378062496379797e-13	2.8267096480972216e-08
GOCC_NEURON_PROJECTION	1287	42	1.4885738300031168	9.454260593787355e-17	4.969159368094634e-12	1.9494176713068024e-10	1.0246139280388553e-05
GOCC_SYNAPSE	1404	44	1.4551633859288733	1.4604583178704954e-16	7.676168918727324e-12	5.952165482638855e-10	3.128458177674982e-05
GOBP_SYNAPTIC_SIGNALING	740	30	1.6582965120996824	4.2737976698993294e-16	2.2463080552990877e-11	4.518908620796096e-10	2.3751383710904278e-05
GOCC_POSTSYNAPTIC_MEMBRANE	268	17	2.070201398076026	3.4131391023835533e-15	1.7939459122127956e-10	6.542389042285876e-10	3.438679680625456e-05
GOCC_POSTSYNAPTIC_SPECIALIZATION	348	19	1.919226749598197	1.314018917912618e-14	6.90648343254872e-10	9.804797647971692e-09	0.0005153401643773921
GOCC_PRESYNAPSE	544	24	1.7169318972336247	1.7941924018605153e-14	9.430275264178869e-10	7.481269700814115e-09	0.0003932155354747899
GOCC_NEURON_TO_NEURON_SYNAPSE	365	19	1.8679336346773847	6.022869150918047e-14	3.1656200257225254e-09	3.041298589181863e-08	0.0015985065384739872
GOBP_CALCIUM_ION_TRANSMEMBRANE_TRANSPORT	333	18	1.9030859803837716	8.630857993815264e-14	4.536378961549303e-09	4.840081810952867e-12	2.543946999836827e-07
GOCC_NEURON_SPINE	174	13	2.2260882676804115	9.337741907412365e-14	4.907917146535939e-09	2.230881420384693e-09	0.00011725512745541946
GOBP_REGULATION_OF_SYNAPTIC_TRANSMISSION_GLUTAMATERGIC	78	9	2.6864415961836325	1.3099348861390265e-13	6.885017761546723e-09	4.4882504560210734e-10	2.359024439684676e-05
