ontology	genes_in_set	overlapping_genes	Beta	P	P_bonf_adj	cond_P	cond_P_bonf_adj
synapse (GO:0045202)	1474	46	1.5156252102900003	2.3217737524440713e-18	4.207054039428658e-15	2.4336848539017327e-10	4.4098369552699397e-07
process in the synapse	1115	38	1.5664664413840383	3.147871124286926e-17	5.70394247720791e-14	1.9775326796563584e-09	3.5832892155373213e-06
postsynapse (GO:0098794)	909	32	1.56854822949921	2.510145879909277e-15	4.54838433439561e-12	6.3332869506207106e-09	1.1475915954524729e-05
postsynaptic specialization (GO:0099572)	413	19	1.7869484597191636	5.800104966906503e-13	1.0509790200034582e-09	8.871523071155508e-08	0.0001607519980493378
presynapse (GO:0098793)	691	25	1.5610009803418103	1.092114413229149e-12	1.9789113167712178e-09	1.68365118774211e-07	0.0003050775952188703
postsynaptic membrane (GO:0045211)	149	11	2.253331400427802	2.935279290723344e-12	5.318726074790699e-09	2.1177990855308915e-08	3.837451942981975e-05
chemical synaptic transmission (GO:0007268)	180	12	2.1481331629762277	3.493369041893192e-12	6.329984703910464e-09	6.584074560191965e-08	0.00011930343103067841
postsynaptic density (GO:0014069)	347	16	1.7738334135891896	3.5331254205737e-11	6.402023262079544e-08	7.799692813873985e-07	0.001413304337873966
synapse adhesion between pre- and post-synapse (GO:0099560)	45	6	2.8863385908785406	8.946711260118748e-11	1.6211440803335173e-07	1.5557338740303528e-07	0.00028189897797429995
trans-synaptic signaling (GO:0099537)	214	12	1.962120644240817	1.6854003905160736e-10	3.0539455076151253e-07	1.2029476001788934e-06	0.002179741051524155
synaptic signaling (GO:0099536)	222	12	1.922878315447196	3.702373694466752e-10	6.708701134373754e-07	1.7092795844146975e-06	0.003097214606959432
postsynaptic modulation of chemical synaptic transmission (GO:0099170)	33	5	3.030125721844985	7.030004643327807e-10	1.2738368413709984e-06	1.0568194947941698e-07	0.00019149569245670354
presynaptic membrane (GO:0042734)	161	10	2.0613728643386	8.127717712224882e-10	1.4727424494551485e-06	1.4433366094726083e-06	0.002615325936364366
regulation of postsynaptic density assembly (GO:0099151)	20	4	3.3614324591511404	2.551797626004795e-09	4.623857298320689e-06	1.1624870051857849e-06	0.002106426453396642
postsynaptic process involved in chemical synaptic transmission (GO:0099565)	39	5	2.8356704704560114	5.019268213830854e-09	9.094914003461508e-06	4.684792591784334e-07	0.0008488844176313213
integral component of postsynaptic membrane (GO:0099055)	119	8	2.136149403586051	1.1278122196409293e-08	2.0435957419893637e-05	4.4346556940537126e-06	0.008035596117625327
postsynaptic density assembly (GO:0097107)	26	4	3.0426796700629706	2.963213370313732e-08	5.3693426270084825e-05	1.2413123278684517e-05	0.022492579380976343
integral component of presynaptic membrane (GO:0099056)	130	8	2.041107609761773	4.446460631262372e-08	8.05698666384742e-05	1.3520695200618814e-05	0.02449949970352129
synapse organization (GO:0050808)	424	15	1.4875872605289142	5.9213213301946044e-08	0.00010729434250312624	0.0001934774064602	0.35058106050588245
