symbol	phenotype	FLAMES_scaled	FLAMES_scaled_with_path	XGB_scaled	weighted_cS2G_score	Overall L2G score	L2G_best	FLAMES_causal	FLAMES_causal_path	FLAMES_raw_path	rel_PoPS_Score	rel_PoPS_path	rel_weighted_distance	rel_MAGMA_Z	TP	filename
RALGPS2	Test_female	0.011736387260828946	0.007384796693582072	0.021531517	1.0	0.010754651390016	0	0	0	0.010038492866494981	0.2106096937558831	0.13189344165446473	0.5094960135112905	0.0	0	FLAMES_annotated_GCST011519-1_179285849_G_A_credset.cred1
FAM20B	Test_female	0.028644076299051816	0.018062571818598404	0.04925662	1.0	0.0122400177642703	0	0	0	0.024553282354967815	0.2522706469963036	0.16955001437286266	0.7239808955616727	0.5650160788019865	0	FLAMES_annotated_GCST011519-1_179285849_G_A_credset.cred1
TOR3A	Test_female	0.04784651292193662	0.03322482934398124	0.03912914	1.0	0.0158623531460762	0	0	0	0.045164034461494154	0.985243193359928	0.9351521719989424	0.7534011274031344	0.7757847533632288	0	FLAMES_annotated_GCST011519-1_179285849_G_A_credset.cred1
ABL2	Test_female	0.07553918329646851	0.055179110830613526	0.07843256	0.982	0.0326814614236354	0	0	0	0.07500749627055306	0.6884288562880967	0.7041020568908651	0.9338911858570128	0.5857440965108683	0	FLAMES_annotated_GCST011519-1_179285849_G_A_credset.cred1
SOAT1	Test_female	0.6107973851756312	0.7456641780204857	0.5292834	1.0	0.5371788740158081	1	1	1	1.0136155188083649	0.9066301544132903	1.0	1.0	0.9326022288327488	1	FLAMES_annotated_GCST011519-1_179285849_G_A_credset.cred1
AXDND1	Test_female	0.06691004498269443	0.0398371550232656	0.058167472	1.0	0.0351642072200775	0	0	0	0.054152472047071125	0.9023916043338256	0.6744985967433549	0.9013933518309334	1.0	0	FLAMES_annotated_GCST011519-1_179285849_G_A_credset.cred1
NPHS2	Test_female	0.017279328242315796	0.019801670590966828	0.02618815	1.0	0.0107594765722751	0	0	0	0.026917319084065968	0.3417549687437476	0.7875938100975308	0.6480306087757587	0.7417243325870063	0	FLAMES_annotated_GCST011519-1_179285849_G_A_credset.cred1
TDRD5	Test_female	0.006583243146500794	0.004741358007684764	0.01824508	1.0	0.0115026282146573	0	0	0	0.006445145413279533	0.0	0.0	0.5917235120581688	0.37167720615751515	0	FLAMES_annotated_GCST011519-1_179285849_G_A_credset.cred1
FAM163A	Test_female	0.035449306507137804	0.013845258693917336	0.018122394	1.0	0.0112056881189346	0	0	0	0.01882049518769493	1.0	0.8000605444366072	0.383968228726846	0.5716378812769168	0	FLAMES_annotated_GCST011519-1_179285849_G_A_credset.cred1
FNDC3B	IGF1	0.3177528418711247	0.186874193233151	0.10862314	0.798	0.0230850055813789	0	0	0	0.19863174110651016	1.0	1.0	0.9274748320175294	1.0	0	FLAMES_annotated_GCST011520-3_172447937_C_T_credset.cred1
GHSR	IGF1	0.4516122651947438	0.6704183178900638	0.6273702	1.0	0.7959502339363098	1	1	1	0.7125989707206817	0.13777291142806689	0.8051077194661364	1.0	0.998338441503037	1	FLAMES_annotated_GCST011520-3_172447937_C_T_credset.cred1
TNFSF10	IGF1	0.05537037249264404	0.03915534372723326	0.05813553	0.502	0.0348742492496967	0	0	0	0.04161887719007157	0.31554541881319437	0.4628970726743138	0.9097651615249219	0.8200464787309286	0	FLAMES_annotated_GCST011520-3_172447937_C_T_credset.cred1
NCEH1	IGF1	0.0269981308061692	0.016843353473752907	0.027331179	1.0	0.0167862772941589	0	0	0	0.017903085325376114	0.34258612829812773	0.3884937769251881	0.7142503365918876	0.36724933481526395	0	FLAMES_annotated_GCST011520-3_172447937_C_T_credset.cred1
ECT2	IGF1	0.027564217558686738	0.014301196430537037	0.026017986	1.0	0.0132750859484076	0	0	0	0.015200983601623664	0.3973235931117267	0.30193430149262357	0.5254877251717441	0.24944708272989569	0	FLAMES_annotated_GCST011520-3_172447937_C_T_credset.cred1
TMPRSS11F	Test_male	0.02127301225127781	0.0190955068157094	0.05425791	1.0	0.0068768179044127	0	0	0	0.019511464834213257	0.0	0.0	0.34123280636251335	0.0	0	FLAMES_annotated_GCST011518-4_68625566_A_T_credset.cred1
TMPRSS11B	Test_male	0.023609270276514462	0.021407036939322714	0.05425791	0.0	0.0072259977459907	0	0	0	0.021873347090357514	0.045294076563109575	0.04992498711895739	0.5020167390731051	0.014875506551422203	0	FLAMES_annotated_GCST011518-4_68625566_A_T_credset.cred1
TMPRSS11B	Test_male	0.02667655403948106	0.0243171274508708	0.062214375	0.0	0.0067876875400543	0	0	0	0.021873347090357514	0.045294076563109575	0.04992498711895739	0.3985630329177566	0.014875506551422203	0	FLAMES_annotated_GCST011518-4_68672462_G_A_credset.cred1
YTHDC1	Test_male	0.031012578052315196	0.028030290164830354	0.05425791	0.0	0.0072343284264206	0	0	0	0.02864087484674406	0.18882530710750423	0.19297561350198217	0.6468791205740697	0.4517888746523598	0	FLAMES_annotated_GCST011518-4_68625566_A_T_credset.cred1
YTHDC1	Test_male	0.035041689329093045	0.03184075126114279	0.062214375	0.0	0.006479064002633	0	0	0	0.02864087484674406	0.18882530710750423	0.19297561350198217	0.5462923644846055	0.4517888746523598	0	FLAMES_annotated_GCST011518-4_68672462_G_A_credset.cred1
TMPRSS11E	Test_male	0.03479886293294239	0.03169882253137044	0.07627731	0.0	0.0363210290670394	0	0	0	0.032389318967851875	0.06747351343948647	0.07457093939058494	0.8516274098852138	1.0	0	FLAMES_annotated_GCST011518-4_68625566_A_T_credset.cred1
TMPRSS11E	Test_male	0.038082799801947814	0.03487510265267979	0.08471098	0.0	0.0151307918131351	0	0	0	0.031370285272185626	0.06747351343948647	0.07457093939058494	0.7550927970468005	1.0	0	FLAMES_annotated_GCST011518-4_68672462_G_A_credset.cred1
UGT2B17	Test_male	0.13199776159660753	0.12487946455221667	0.10951865	0.0	0.4547576606273651	0	0	0	0.12759971781013119	0.855403944226296	0.9238104867472672	0.9500673171679598	0.21177241931958915	0	FLAMES_annotated_GCST011518-4_68625566_A_T_credset.cred1
UGT2B17	Test_male	0.07620147936834777	0.07247636642920176	0.06416016	0.0	0.0308855194598436	0	0	0	0.06519276267136132	0.855403944226296	0.9238104867472672	0.8554809140424182	0.21177241931958915	0	FLAMES_annotated_GCST011518-4_68672462_G_A_credset.cred1
UGT2B15	Test_male	0.24747869924052351	0.367150657082159	0.19243236	0.0	0.5976789593696594	1	1	1	0.37514831125736237	0.9404010685468215	1.0	1.0	0.832532707116503	1	FLAMES_annotated_GCST011518-4_68625566_A_T_credset.cred1
UGT2B15	Test_male	0.25395907308130466	0.37877278917945795	0.20039392	0.0	0.8628225922584534	1	1	1	0.34070754051208496	0.9404010685468215	1.0	1.0	0.832532707116503	1	FLAMES_annotated_GCST011518-4_68672462_G_A_credset.cred1
UGT2B10	Test_male	0.07011615256971629	0.06109137230493388	0.05425791	0.0	0.0248205866664648	0	0	0	0.06242212756672857	0.9469437506251519	0.9070368685120401	0.7649270615015198	0.4203351917003416	0	FLAMES_annotated_GCST011518-4_68625566_A_T_credset.cred1
