Gene	weighted_cS2G_score	phenotype	locusname
HP1BP3	0.545662	calcium	annotated_credset_3.1.txt
FAM43B	0.261654	calcium	annotated_credset_3.1.txt
SLC13A5	0.152028993	calcium	annotated_credset_379.1.txt
FBXO39	2.452272	calcium	annotated_credset_379.1.txt
TEKT1	0.689611	calcium	annotated_credset_380.1.txt
SLC13A5	0.4898681	calcium	annotated_credset_380.1.txt
FBXO39	1.0	calcium	annotated_credset_380.1.txt
ABCA9	0.372639	calcium	annotated_credset_394.1.txt
AMZ2	0.539152488	calcium	annotated_credset_394.1.txt
ABCA6	3.462551	calcium	annotated_credset_394.1.txt
FCGRT	0.999993	calcium	annotated_credset_417.1.txt
FLT3LG	0.99048	calcium	annotated_credset_417.1.txt
NOSIP	0.95432302	calcium	annotated_credset_418.1.txt
FCGRT	0.87833	calcium	annotated_credset_418.1.txt
TBC1D17	0.0968723	calcium	annotated_credset_418.1.txt
PIH1D1	0.091877	calcium	annotated_credset_418.1.txt
SIGLEC16	0.604977	calcium	annotated_credset_419.1.txt
ALPL	0.2377639999999999	calcium	annotated_credset_5.1.txt
ALPL	0.251528	calcium	annotated_credset_6.1.txt
ZNF514	0.621966	calcium	annotated_credset_67.1.txt
LINC00342	0.999956	calcium	annotated_credset_68.1.txt
ZNF514	0.988637	calcium	annotated_credset_68.1.txt
TRIM43B	0.822137	calcium	annotated_credset_68.1.txt
KCNIP3	1.0	calcium	annotated_credset_69.1.txt
ZNF514	0.798	calcium	annotated_credset_69.1.txt
ANKRD20A8P	1.0	calcium	annotated_credset_69.1.txt
LINC00342	0.608804	calcium	annotated_credset_71.1.txt
ZNF514	1.329254	calcium	annotated_credset_71.1.txt
GPAT2	1.0	calcium	annotated_credset_71.1.txt
LINC00342	0.999997	calcium	annotated_credset_72.1.txt
CNNM3	1.0	calcium	annotated_credset_72.1.txt
ARID5A	0.321430543	calcium	annotated_credset_72.1.txt
CNNM4	0.1076646139999999	calcium	annotated_credset_73.1.txt
CNNM3	0.836667846	calcium	annotated_credset_73.1.txt
ACTR1B	0.487562	calcium	annotated_credset_77.1.txt
TIGD1	1.240424	dbilirubin	annotated_credset_12.1.txt
KCNJ13	1.719957	dbilirubin	annotated_credset_12.1.txt
EFHD1	0.652739	dbilirubin	annotated_credset_12.1.txt
GIGYF2	0.613917	dbilirubin	annotated_credset_12.1.txt
EIF4E2	0.728306	dbilirubin	annotated_credset_12.1.txt
PRSS56	1.0	dbilirubin	annotated_credset_12.1.txt
USP40	1.0	dbilirubin	annotated_credset_18.1.txt
