Unnamed: 0	ensg	symbol	chr	start	end	strand	gene_biotype	hgnc_symbol	entrezID	mim	uniprot	alias	TSS_distance	weighted_TSS_distance	distance	weighted_distance	VEP_sum	VEP_max	CADD_sum	CADD_max	CLPP_eQTLgen_sum	CLPP_eQTLgen_max	CLPP_GTEX_eQTL_sum	CLPP_GTEX_eQTL_max	CLPP_GTEX_tissue_weighted_eQTL_sum	CLPP_GTEX_tissue_weighted_eQTL_max	max_CLPP_eQTL_eQTLCatalog_sum	max_CLPP_eQTL_eQTLCatalog_max	mean_CLPP_eQTL_eQTLCatalog_sum	mean_CLPP_eQTL_eQTLCatalog_max	max_CLPP_rQTL_eQTLCatalog_sum	max_CLPP_rQTL_eQTLCatalog_max	mean_CLPP_rQTL_eQTLCatalog_sum	mean_CLPP_rQTL_eQTLCatalog_max	HACER_CAGE_sum	HACER_CAGE_max	HACER_PRO-seq_GRO-seq_sum	HACER_PRO-seq_GRO-seq_max	cicero_sum	cicero_max	Jung_HiC_sum	Jung_HiC_max	Javierre_HiC_sum	Javierre_HiC_max	ABC_EP_sum	ABC_EP_max	ABC_CRISPR_sum	ABC_CRISPR_max	F5_ep_sum	F5_ep_max	GeneHancer_max	GeneHancer_sum	RoadmapEpi_sum	RoadmapEpi_max	EpiMap_sum	EpiMap_max	Promoter_sum	Promoter_max	MAGMA_Z	rel_TSS_distance	rel_weighted_TSS_distance	rel_distance	rel_weighted_distance	rel_VEP_sum	rel_VEP_max	rel_CADD_sum	rel_CADD_max	rel_CLPP_eQTLgen_sum	rel_CLPP_eQTLgen_max	rel_CLPP_GTEX_eQTL_sum	rel_CLPP_GTEX_eQTL_max	rel_CLPP_GTEX_tissue_weighted_eQTL_sum	rel_CLPP_GTEX_tissue_weighted_eQTL_max	rel_max_CLPP_eQTL_eQTLCatalog_sum	rel_max_CLPP_eQTL_eQTLCatalog_max	rel_mean_CLPP_eQTL_eQTLCatalog_sum	rel_mean_CLPP_eQTL_eQTLCatalog_max	rel_max_CLPP_rQTL_eQTLCatalog_sum	rel_max_CLPP_rQTL_eQTLCatalog_max	rel_mean_CLPP_rQTL_eQTLCatalog_sum	rel_mean_CLPP_rQTL_eQTLCatalog_max	rel_HACER_CAGE_sum	rel_HACER_CAGE_max	rel_HACER_PRO-seq_GRO-seq_sum	rel_HACER_PRO-seq_GRO-seq_max	rel_cicero_sum	rel_cicero_max	rel_Jung_HiC_sum	rel_Jung_HiC_max	rel_Javierre_HiC_sum	rel_Javierre_HiC_max	rel_ABC_EP_sum	rel_ABC_EP_max	rel_ABC_CRISPR_sum	rel_ABC_CRISPR_max	rel_F5_ep_sum	rel_F5_ep_max	rel_GeneHancer_max	rel_GeneHancer_sum	rel_RoadmapEpi_sum	rel_RoadmapEpi_max	rel_EpiMap_sum	rel_EpiMap_max	rel_Promoter_sum	rel_Promoter_max	rel_MAGMA_Z	rel_PoPS_Score	genes_in_locus	credset_size	genes_within_50kb	genes_within_100kb	genes_within_250kb	Highest_PIP	filename	pheno	ENSGID	PoPS_Score	locus	no_genes	XGB_score	rel_XGB_score	XGB_scaled	PoPS_prediction	Magma_pred	dist_pred	Combined_score	raw_FLAMES_score	PoPS_clos	diff	diff2	FLAMES_score	nPoPS	FLAMES_raw	FLAMES_scaled	FLAMES_causal	FLAMES_score2	uniqTP	TP
0	ENSG00000160712	IL6R	1	154377669	154441926	1	protein_coding	IL6R	3570.0	147880.0	P08887	|CD126|gp80|IL-6R-1|IL-6RA|IL6Q|IL6RA|IL6RQ|IL6R|	736856	737824.2681100368	736856	737824.2681100368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1367	0.07671872474214272	0.07446154273181617	0.0013444503474970455	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.13967999764509173	0.36430008031530936	84	2	15	25	49	0.842551477788119	1_155208991_A_T	rbc	ENSG00000160712	0.2372184386477696	rbc1_155208991_A_T	49	0.020849576	0.038315922	0.007068819	0	0	0	0.16055998138190716	0.16055998138190716	0	-0.12929684164439045	0.2818374374551762	-0.8764862086346992	0.5499244569	0.01146569187933265	0.006910385529593625	0	0.0	rbcIL6R	0.0
1	ENSG00000169291	SHE	1	154442248	154474589	-1	protein_coding	SHE	126669.0	610482.0	Q5VZ18	|RP11-350G8.8|SHE|	704193	705161.2681100368	704193	705161.2681100368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0217	0.11764882791011241	0.1154850279455321	0.04561237544860188	0.04426934896525895	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1256916478726092	0.26226201986913134	84	2	15	25	49	0.842551477788119	1_155208991_A_T	rbc	ENSG00000169291	0.0634938951578339	rbc1_155208991_A_T	49	0.020849576	0.038315922	0.007068819	0	0	0	0.1222957087145904	0.1222957087145904	0	-0.13080307647004843	0.2833436722808342	-0.9530147539693328	0.4776815101	0.009959457053674688	0.006002576087918433	0	0.0	rbcSHE	0.0
3	ENSG00000163239	TDRD10	1	154474695	154520623	1	protein_coding	TDRD10	126668.0	0.0	Q5VZ19	|DKFZp434M202|TDRD10|	658159	659127.2681100368	658159	659127.2681100368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.76114	0.17533417124153686	0.17330198040942701	0.10800191909444763	0.10666089935152874	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.09399769642288704	0.17788127152784272	84	2	15	25	49	0.842551477788119	1_155208991_A_T	rbc	ENSG00000163239	-0.0801682532682594	rbc1_155208991_A_T	49	0.020849576	0.038315922	0.007068819	0	0	0	0.09065292808660717	0.09065292808660717	0	-0.13204866288517594	0.2845892586959617	-1.0163003152252992	0.4179399402	0.008713870638547179	0.0052518597395687225	0	0.0	rbcTDRD10	0.0
4	ENSG00000160714	UBE2Q1	1	154521053	154531504	-1	protein_coding	UBE2Q1	55585.0	0.0	Q7Z7E8	|GTAP|NICE-5|UBE2Q|NICE5|PRO3094|UBE2Q1|	647278	648246.2681100368	647278	648246.2681100368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7655	0.18896918494421813	0.18696810240099063	0.12274885884355585	0.12140831343140453	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.21616586144454403	0.2331372352444267	84	2	15	25	49	0.842551477788119	1_155208991_A_T	rbc	ENSG00000160714	0.0139075948004458	rbc1_155208991_A_T	49	0.020849576	0.038315922	0.007068819	0	0	0	0.11137391448032616	0.11137391448032616	0	-0.13123300197693083	0.2837735977877166	-0.9748583424378612	0.4570611626	0.009529531546792277	0.005743459496191538	0	0.0	rbcUBE2Q1	0.0
6	ENSG00000160716	CHRNB2	1	154540257	154552502	1	protein_coding	CHRNB2	1141.0	118507.0	P17787	|EFNL3|nAChRB2|CHRNB2|	626280	627248.2681100368	626280	627248.2681100368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.4141	0.2152818416604116	0.21334079145336204	0.15120729472736932	0.1498676646720287	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29506015416134546	0.07268382908622646	84	2	15	25	49	0.842551477788119	1_155208991_A_T	rbc	ENSG00000160716	-0.2592717915417869	rbc1_155208991_A_T	49	0.021290239	0.03912574	0.0072182207	0	0	0	0.051710023737401606	0.051710023737401606	0	-0.1334501848402716	0.2859907806510574	-1.0941861239237103	0.343460151	0.007312348683451507	0.004407160864016469	0	0.0	rbcCHRNB2	0.0
8	ENSG00000160710	ADAR	1	154554538	154600475	-1	protein_coding	ADAR	103.0	146920.0	P55265	|ADAR1|AGS6|DRADA|DSH|DSRAD|G1P1|IFI-4|IFI4|K88DSRBP|P136|601059|ADAR|	578307	579275.2681100368	578307	579275.2681100368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2984	0.27539695170165124	0.27359305414073287	0.21622475089720375	0.2148872121082828	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.28098665791198696	0.3096690564681988	84	2	15	25	49	0.842551477788119	1_155208991_A_T	rbc	ENSG00000160710	0.1442065797715108	rbc1_155208991_A_T	49	0.021290239	0.03912574	0.0072182207	0	0	0	0.14057948400564124	0.14057948400564124	0	-0.12987799058058427	0.28241858639137	-0.9164472033872311	0.511245692	0.010884542943138854	0.006560126405113639	0	0.0	rbcADAR	0.0
9	ENSG00000268141	AL606500.1	1	154585067	154585190	1	protein_coding	0	0.0	0.0	0	|AL606500.1|	593592	594560.2681100368	593592	594560.2681100368	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.25624327240328865	0.25439567571585925	0.1955091021456994	0.19417089704432716	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.001414282980910038	0.22496853339953712	84	2	15	25	49	0.842551477788119	1_155208991_A_T	rbc	0	0.0	rbc1_155208991_A_T	49	0.02160992	0.039713226	0.007326605	0	0	0	0.1091839673678707	0.1091839673678707	0	-0.1310104584476899	0.28355105425847565	-0.9792382366627721	0.4512777216	0.009752075076033212	0.005877586734247124	0	0.0	rbcAL606500.1	0.0
10	ENSG00000143603	KCNN3	1	154669931	154842756	-1	protein_coding	KCNN3	3782.0	602983.0	Q9UGI6	|hSK3|KCa2.3|SK3|SKCA3|K3|KCNN3|	336026	336994.26811003685	336026	336994.26811003685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.42816	0.578999998746897	0.57788877165181	0.544586418883022	0.5432594417458514	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.05349473375122413	0.11027368821563167	84	2	15	25	49	0.842551477788119	1_155208991_A_T	rbc	ENSG00000143603	-0.195273308146942	rbc1_155208991_A_T	49	0.021910755	0.04026608	0.0074286	0	0	0	0.06651893413760454	0.06651893413760454	0	-0.13265393780225587	0.28519453361304165	-1.0645683031233044	0.3700737713	0.008108595721467233	0.004887059858982825	0	0.0	rbcKCNN3	0.0
11	ENSG00000163344	PMVK	1	154897210	154909467	-1	protein_coding	PMVK	10654.0	607622.0	Q15126	|HUMPMKI|PMK|PMKA|PMKASE|PMKI|PMVK|	269315	270283.26811003685	269315	270283.26811003685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.7368	0.6625957527327043	0.6616752493817246	0.6349993494595093	0.633675280426358	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.57758832821826	0.34990180866537585	84	2	15	25	49	0.842551477788119	1_155208991_A_T	rbc	ENSG00000163344	0.212704711529758	rbc1_155208991_A_T	49	0.024137216	0.04435772	0.008183457	0	0	0	0.15893675326041168	0.15893675326041168	0	-0.12773494250206163	0.2802755383128474	-0.8797326648776902	0.5397304805	0.01302759102166147	0.007851743918204186	0	0.0	rbcPMVK	0.0
13	ENSG00000163346	PBXIP1	1	154916552	154928599	-1	protein_coding	PBXIP1	57326.0	0.0	Q96AQ6	|HPIP|PBXIP1|	250183	251151.26811003685	250183	251151.26811003685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.071	0.6865701192578122	0.6857043134330614	0.6609288091856317	0.6596055741655533	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7398775131438791	0.48462124142149365	84	2	15	25	49	0.842551477788119	1_155208991_A_T	rbc	ENSG00000163346	0.4420708113207724	rbc1_155208991_A_T	49	0.03440127	0.0632203	0.011663372	0	0	0	0.22124565196446805	0.22124565196446805	0	-0.11891387872578664	0.2714544745365724	-0.7551148674695773	0.6351118389	0.02184865479793648	0.013168209083736025	0	0.0	rbcPBXIP1	0.0
