ensg	filename	TP	rel_weighted_distance	symbol
ENSG00000091622	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.09846363	PITPNM3
ENSG00000198920	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.42940743	KIAA0753
ENSG00000129235	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.443572874	TXNDC17
ENSG00000108590	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.471374614	MED31
ENSG00000212734	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.478574924	C17orf100
ENSG00000141485	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	1	0.714123438	SLC13A5
ENSG00000132530	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.957452362	XAF1
ENSG00000177294	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	1	FBXO39
ENSG00000167858	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.989687878	TEKT1
ENSG00000215067	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.646714818	AC027763.2
ENSG00000108839	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.178596689	ALOX12
ENSG00000219200	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.114503348	RNASEK
ENSG00000269871	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.113750785	AC040977.1
ENSG00000161939	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.113648875	RNASEK-C17orf49
ENSG00000258315	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.106358414	C17orf49
ENSG00000161940	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.072943803	BCL6B
ENSG00000174327	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0.021773392	SLC16A13
ENSG00000174326	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_380.txt	0	0	SLC16A11
ENSG00000141338	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_395.txt	0	0.39063335	ABCA8
ENSG00000154258	Ei_gold_standard/FLAMES/calcium/finemap_merged/annotated_credset_395.txt	0	0.760898473	ABCA9
